CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
7832,640,0.38
7832,190,0.62
7832,214,0.82
7832,120,0.12
7832,310,0.82
7832,1842,0.22
7832,500,0.62
7832,120,0.98
7832,230,0.38
7832,350,0.22
7832,600,0.22
7832,200,0.98
7832,290,0.98
7832,190,0.02
7832,690,1.0
7832,270,1.01
7832,320,0.38
7832,560,1.02
7832,60,0.98
7832,260,0.82
7832,240,0.18
7832,6.44,0.82
7832,225.78,0.92
7832,17.5,1.0
7832,7.65,0.72
7832,404.48,0.64
7832,898.4,0.02
7832,391.56,0.98
7832,472.88,0.92
7832,451.2,1.01
7832,391.92,0.18
7832,732.18,0.22
7832,652.34,0.72
7832,495,0.82
7832,375.4,0.12
7832,170,98.98
7832,155.4,98.98
7832,236,0.02
7832,764,0.82
7832,341.3,0.82
7832,720,0.82
7832,160,0.62
7832,543.72,0.8
7832,575.52,0.18
7832,450,0.62
7832,160,0.98
7832,450,0.98
7832,411.8,0.98
7832,1260.6,0.22
7832,335.4,0.98
7832,247.2,0.98
7832,702.18,0.92
7832,400,0.92
7832,60,0.62
7832,480,0.92
7832,468,0.62
7832,391.56,0.98
7832,920,0.98
7832,531.2,0.98
7832,170,0.18
7832,1900,0.62
7832,391.58,0.98
7832,230,0.62
7832,175,0.62
7832,510,0.98
7832,175,0.38
7832,144.84,0.02
7832,210,0.42
7832,235,0.82
7832,900,0.98
7832,1856,0.02
7832,300,0.72
7832,235,0.94
7832,728.58,0.22
7832,450,0.02
7832,543.72,0.42
7832,480,0.98
7832,60,0.98
7832,450.8,0.62
7832,80,0.22
7832,350,0.62
7832,5939,0.58
7832,440,0.02
7832,391.56,0.02
7832,750,0.98
7832,230,0.52
7832,220,0.92
7832,236,0.22
7832,150,0.02
7832,300,0.74
7832,510,0.02
7832,452,0.92
7832,386.36,0.02
7832,756,0.98
7832,396.2,0.82
7832,118,0.62
7832,1534,0.98
7832,250,0.62
7832,420,0.98
7832,400,0.52
7832,210,0.92
7832,420,0.92
7832,600,0.82
7832,600,0.52
7832,407.04,0.82
7832,150,0.82
7832,806.8,0.22
7832,120,0.62
7832,118,0.98
7832,518.08,0.18
7832,2126,0.22
7832,2396,0.02
7832,1416,0.02
7832,1200,0.82
7832,546,0.02
7832,710,0.02
7832,380,0.82
7832,580,0.42
7832,370,0.18
7832,165,0.82
7832,792.2,0.98
7832,5097,0.98
7832,724,0.92
7832,1753,0.98
7832,400,0.02
7832,210,0.98
7832,280,0.98
7832,3250,0.02
7832,460,0.98
7832,520,0.18
7832,294,0.62
7832,349.08,0.62
7832,1480,0.92
7832,445,0.92
7832,280,0.62
7832,273,0.62
7832,145,0.62
7832,370,0.78
7832,790,0.82
7832,354,0.02
7832,214.06,0.98
7832,390,0.98
7832,150,0.82
7832,137.68,0.62
7832,695,0.42
7832,400,0.98
7832,400,0.92
7832,250,0.98
7832,450,0.98
7832,470,0.98
7832,400,0.62
7832,732,0.98
7832,360,0.98
7832,451.2,0.18
7832,1353.6,0.92
7832,490,0.98
7832,180,0.92
7832,383,0.72
7832,470,0.62
7832,165.78,0.98
7832,320,0.98
7832,400,0.58
7832,165.78,0.92
7832,140,0.02
7832,403.92,0.92
7832,210,0.02
7832,615.6,0.82
7832,315,0.52
7832,305.88,0.98
7832,720,0.22
7832,261,0.62
7832,540,0.94
7832,265,0.98
7832,825,0.42
7832,200,0.18
7832,292,0.02
7832,340,0.82
7832,880,0.92
7832,4460,0.98
7832,540,0.54
7832,340,0.92
7832,200,0.02
7832,260,0.98
7832,120,0.82
7832,670,0.92
7832,661.2,0.82
7832,439,0.92
7832,1210.04,0.18
7832,320,0.02
7832,630,1.0
7832,970.92,0.82
7832,2120,0.96
7832,300,0.98
7832,290,0.42
7832,100,0.9
7832,184.06,0.92
7832,360,0.92
7832,1270,0.02
7832,1032.56,0.82
7832,962.1,0.92
7832,360,0.42
7832,440,0.02
7832,485,0.22
7832,810,0.02
7832,390,0.62
7832,330,0.86
7832,540,0.58
7832,341,0.92
7832,690,0.52
7832,500,0.02
7832,156,0.42
