CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5631,24090.13,0.38
5631,2426,0.62
5631,1187,0.82
5631,3096,0.12
5631,1050,0.82
5631,1995,0.22
5631,200,0.62
5631,4460,0.98
5631,600,0.38
5631,331,0.22
5631,1420,0.22
5631,890,0.98
5631,105,0.98
5631,1150,0.02
5631,1150,1.0
5631,1500,1.01
5631,800,0.38
5631,999.61,1.02
5631,3350,0.98
5631,2519.29,0.82
5631,1319.61,0.18
5631,11763,0.82
5631,1045,0.92
5631,1919.11,1.0
5631,2088,0.72
5631,29780,0.64
5631,3864,0.02
5631,4408,0.98
5631,1936,0.92
5631,895,1.01
5631,919.21,0.18
5631,325,0.22
5631,625,0.72
5631,1490,0.82
5631,2718.7,0.12
5631,1079.61,98.98
5631,510,98.98
5631,696,0.02
5631,2598,0.82
5631,1770,0.82
5631,1149.5,0.82
5631,5291,0.62
5631,1395,0.8
5631,1000,0.18
5631,1800,0.62
5631,360,0.98
5631,2160,0.98
5631,1785,0.98
5631,345,0.22
5631,320,0.98
5631,41.9,0.98
5631,799.61,0.92
5631,1799.11,0.92
5631,41.58,0.62
5631,900,0.92
5631,6704,0.62
5631,1920,0.98
5631,1848.71,0.98
5631,3100,0.98
5631,900,0.18
5631,2515,0.62
5631,1850,0.98
5631,504,0.62
5631,1044,0.62
5631,3275,0.98
5631,2860,0.38
5631,2313,0.02
5631,749.51,0.42
5631,1919.21,0.82
5631,999.61,0.98
5631,722,0.02
5631,1849,0.72
5631,2746,0.94
5631,2000,0.22
5631,6500,0.02
5631,2300,0.42
5631,2519.21,0.98
5631,747,0.98
5631,2693,0.62
5631,1380,0.22
5631,2400,0.62
5631,2848.51,0.58
5631,17090,0.02
5631,850,0.02
5631,250,0.98
5631,1540,0.52
5631,1319,0.92
5631,1839.21,0.22
5631,250,0.02
5631,7397,0.74
5631,1369,0.02
5631,999.61,0.92
5631,1891,0.02
5631,175,0.98
5631,3134,0.82
5631,450,0.62
5631,3357,0.98
5631,3580,0.62
5631,2076,0.98
5631,14940,0.52
5631,1015,0.92
5631,3925,0.92
5631,3795,0.82
5631,405,0.52
5631,1099.11,0.82
5631,8000,0.82
5631,4575,0.22
5631,20000,0.62
5631,650,0.98
5631,849.51,0.18
5631,10898,0.22
5631,4500,0.02
5631,3299.01,0.02
5631,53000,0.82
5631,2230,0.02
5631,140,0.02
5631,4289,0.82
5631,1670,0.42
5631,1455,0.18
5631,2000,0.82
5631,1000,0.98
5631,750.08,0.98
5631,8057,0.92
5631,3375,0.98
5631,3375,0.02
5631,3375,0.98
5631,3375,0.98
5631,380,0.02
5631,600,0.98
5631,1430,0.18
5631,1430,0.62
5631,3100,0.62
5631,278,0.92
5631,798,0.92
5631,450,0.62
5631,731,0.62
5631,850,0.62
5631,750,0.78
5631,500,0.82
5631,44625,0.02
5631,480,0.98
5631,690,0.98
5631,560,0.82
5631,1997,0.62
5631,1244,0.42
5631,644,0.98
5631,999,0.92
5631,1125,0.98
5631,200,0.98
5631,6393,0.98
5631,3560,0.62
5631,6598.02,0.98
5631,4140,0.98
5631,1319.21,0.18
5631,919.21,0.92
5631,2202,0.98
5631,999,0.92
5631,2122,0.72
5631,228,0.62
5631,4030,0.98
5631,3438,0.98
5631,849.51,0.58
5631,749.51,0.92
5631,1999.21,0.02
5631,300,0.92
5631,962,0.02
5631,1219.1,0.82
5631,1062,0.52
5631,1033,0.98
5631,2199.21,0.22
5631,2199.21,0.62
5631,450,0.94
5631,450,0.98
5631,1386,0.42
