CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
7829,199,0.38
7829,100,0.62
7829,100,0.82
7829,100,0.12
7829,999,0.82
7829,50,0.22
7829,25,0.62
7829,50,0.98
7829,50,0.38
7829,130,0.22
7829,50,0.22
7829,116.82,0.98
7829,116.82,0.98
7829,50,0.02
7829,116.82,1.0
7829,100,1.01
7829,100,0.38
7829,25,1.02
7829,100,0.98
7829,150,0.82
7829,50,0.18
7829,100,0.82
7829,50,0.92
7829,50,1.0
7829,80,0.72
7829,999,0.64
7829,50,0.02
7829,80,0.98
7829,999,0.92
7829,999,1.01
7829,25,0.18
7829,50,0.22
7829,310,0.72
7829,199,0.82
7829,150,0.12
7829,510,98.98
7829,75,98.98
7829,150,0.02
7829,50,0.82
7829,30,0.82
7829,100,0.82
7829,150,0.62
7829,150,0.8
7829,100,0.18
7829,150,0.62
7829,199,0.98
7829,199,0.98
7829,199,0.98
7829,199,0.22
7829,199,0.98
7829,199,0.98
7829,50,0.92
7829,100,0.92
7829,199,0.62
7829,50,0.92
7829,120,0.62
7829,50,0.98
7829,100,0.98
