CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5735,75,0.38
5735,120,0.62
5735,748,0.82
5735,120,0.12
5735,369,0.82
5735,75,0.22
5735,75,0.62
5735,75,0.98
5735,1126,0.38
5735,58,0.22
5735,75,0.22
5735,120,0.98
5735,299,0.98
5735,5196,0.02
5735,190,1.0
5735,799,1.01
5735,75,0.38
5735,1599,1.02
5735,120,0.98
5735,120,0.82
5735,120,0.18
5735,1187,0.82
5735,1998,0.92
5735,18,1.0
5735,75,0.72
5735,75,0.64
5735,33,0.02
5735,190,0.98
5735,190,0.92
5735,120,1.01
5735,79,0.18
5735,3999,0.22
5735,120,0.72
5735,75,0.82
5735,799,0.12
5735,2000,98.98
5735,438,98.98
5735,75,0.02
5735,75,0.82
5735,1476,0.82
5735,119,0.82
5735,219,0.62
5735,75,0.8
5735,29,0.18
5735,49,0.62
5735,219,0.98
5735,219,0.98
5735,1218,0.98
5735,199,0.22
5735,219,0.98
5735,3999,0.98
5735,219,0.92
5735,190,0.92
5735,1514,0.62
5735,75,0.92
5735,75,0.62
5735,219,0.98
5735,75,0.98
5735,75,0.98
5735,649,0.18
5735,219,0.62
5735,120,0.98
5735,190,0.62
5735,1607,0.62
5735,190,0.98
5735,298,0.38
5735,75,0.02
5735,75,0.42
5735,389,0.82
5735,79,0.98
5735,988,0.02
5735,219,0.72
5735,669,0.94
5735,2449,0.22
5735,649,0.02
5735,799,0.42
5735,120,0.98
5735,75,0.98
5735,36,0.62
5735,1499,0.22
5735,75,0.62
5735,75,0.58
5735,159,0.02
5735,75,0.02
5735,189,0.98
5735,75,0.52
5735,75,0.92
5735,2396,0.22
5735,1806,0.02
5735,36,0.74
5735,798,0.02
5735,120,0.92
5735,199,0.02
5735,219,0.98
5735,3149,0.82
5735,499,0.62
5735,799,0.98
5735,219,0.62
5735,399,0.98
5735,269,0.52
5735,75,0.92
5735,120,0.92
5735,649,0.82
5735,75,0.52
5735,75,0.82
5735,649,0.82
5735,75,0.22
5735,120,0.62
5735,149,0.98
5735,480,0.18
5735,120,0.22
5735,120,0.02
5735,848,0.02
5735,8289,0.82
5735,55814,0.02
5735,120,0.02
5735,489,0.82
5735,219,0.42
5735,649,0.18
5735,3999,0.82
5735,2498,0.98
5735,250,0.98
5735,299,0.92
5735,36,0.98
5735,75,0.02
5735,75,0.98
5735,1499,0.98
5735,1138,0.02
5735,75,0.98
5735,119,0.18
5735,799,0.62
5735,189,0.62
5735,75,0.92
5735,75,0.92
5735,75,0.62
5735,120,0.62
5735,570,0.62
5735,1000,0.78
5735,549,0.82
5735,75,0.02
5735,299,0.98
5735,899,0.98
5735,120,0.82
5735,217,0.62
5735,18,0.42
5735,75,0.98
5735,199,0.92
5735,120,0.98
5735,569,0.98
5735,799,0.98
5735,4258,0.62
5735,75,0.98
5735,120,0.98
5735,649,0.18
5735,498,0.92
5735,269,0.98
5735,120,0.92
5735,668,0.72
5735,1998,0.62
5735,199,0.98
5735,120,0.98
5735,120,0.58
5735,365,0.92
5735,120,0.02
5735,299,0.92
5735,75,0.02
5735,190,0.82
5735,75,0.52
5735,75,0.98
5735,1666,0.22
5735,219,0.62
5735,75,0.94
5735,399,0.98
5735,75,0.42
5735,1737,0.18
5735,120,0.02
5735,120,0.82
5735,99,0.92
5735,1949,0.98
5735,219,0.54
5735,199,0.92
5735,514,0.02
5735,120,0.98
5735,1848,0.82
5735,589,0.92
5735,190,0.82
5735,1916,0.92
5735,75,0.18
5735,120,0.02
5735,59,1.0
5735,1298,0.82
5735,104.84,0.96
5735,499,0.98
5735,120,0.42
5735,499,0.9
5735,79,0.92
5735,10.99,0.92
5735,120,0.02
5735,1177,0.82
5735,75,0.92
5735,988,0.42
5735,798,0.02
5735,120,0.22
5735,75,0.02
5735,199,0.62
5735,36,0.86
5735,75,0.58
5735,299,0.92
5735,120,0.52
5735,3999,0.02
5735,1598,0.42
5735,75,0.72
5735,190,0.82
5735,75,0.62
5735,75,0.02
5735,18,0.98
5735,79,0.82
5735,649,0.42
5735,120,0.18
5735,799,0.18
5735,75,0.48
5735,1298,0.92
5735,49,0.98
5735,799,1.0
5735,75,0.98
5735,190,0.42
5735,75,0.98
5735,489,0.98
5735,120,0.02
5735,75,0.32
5735,189,0.22
5735,120,0.72
5735,75,0.52
5735,75,0.98
5735,469,0.98
5735,749,0.82
5735,75,1.0
5735,977,0.58
5735,119,0.82
5735,649,0.98
5735,389,0.02
5735,190,0.62
5735,75,0.38
5735,120,0.98
5735,120,0.98
5735,75,0.42
5735,120,0.92
5735,75,0.92
5735,988,0.62
5735,1949,0.52
5735,120,0.06
5735,1598,0.02
5735,3999,0.42
5735,799,0.98
5735,589,0.42
5735,75,0.98
5735,75,0.98
5735,120,0.38
5735,120,0.92
5735,75,1.01
5735,3187,0.82
5735,75,0.42
5735,1317,0.9
5735,120,0.72
5735,2698,0.96
5735,120,0.98
5735,120,0.62
5735,120,0.82
5735,989,0.92
5735,49,0.02
5735,120,0.62
5735,299,0.02
5735,5000,2.98
5735,219,0.82
5735,1388,0.82
