CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5499,93.65,0.38
5499,400,0.62
5499,457,0.82
5499,25.18,0.12
5499,21.54,0.82
5499,316,0.22
5499,300,0.62
5499,642.68,0.98
5499,390,0.38
5499,1080,0.22
5499,13.7,0.22
5499,2300,0.98
5499,15.65,0.98
5499,295,0.02
5499,4.95,1.0
5499,225,1.01
5499,2375,0.38
5499,228.4,1.02
5499,427,0.98
5499,185,0.82
5499,1518.68,0.18
5499,180,0.82
5499,408,0.92
5499,140,1.0
5499,240,0.72
5499,100,0.64
5499,229,0.02
5499,280,0.98
5499,597,0.92
5499,597,1.01
5499,334,0.18
5499,823,0.22
5499,534,0.72
5499,721,0.82
5499,548,0.12
5499,312,98.98
5499,719,98.98
5499,662,0.02
5499,200,0.82
5499,1200,0.82
5499,107,0.82
5499,199.26,0.62
5499,3270,0.8
5499,12.4,0.18
5499,116,0.62
5499,1560,0.98
5499,134,0.98
5499,420,0.98
5499,1350,0.22
5499,390,0.98
5499,680,0.98
5499,70,0.92
5499,306,0.92
5499,90,0.62
5499,533,0.92
5499,260,0.62
5499,900,0.98
5499,570,0.98
5499,457,0.98
5499,126,0.18
5499,433,0.62
5499,263,0.98
5499,565,0.62
5499,1568,0.62
5499,570,0.98
5499,700,0.38
5499,960,0.02
5499,3944,0.42
5499,118,0.82
5499,175,0.98
5499,290,0.02
5499,625,0.72
5499,13260,0.94
5499,432,0.22
5499,3338,0.02
5499,197,0.42
5499,190,0.98
5499,165,0.98
5499,23.2,0.62
5499,300,0.22
5499,447,0.62
5499,320,0.58
5499,817,0.02
5499,490,0.02
5499,290,0.98
5499,20,0.52
5499,253,0.92
5499,430,0.22
5499,281.42,0.02
5499,773,0.74
5499,250,0.02
5499,1050,0.92
5499,250,0.02
5499,230,0.98
5499,435,0.82
5499,160,0.62
5499,320,0.98
5499,300,0.62
5499,3730,0.98
5499,453,0.52
5499,768,0.92
5499,1507,0.92
5499,119,0.82
5499,225,0.52
5499,446,0.82
5499,2090,0.82
5499,160,0.22
5499,200,0.62
5499,980,0.98
5499,478,0.18
5499,2400,0.22
5499,790,0.02
5499,286,0.02
5499,880,0.82
5499,294,0.02
5499,456,0.02
5499,295,0.82
5499,153,0.42
5499,344,0.18
5499,452.16,0.82
5499,320,0.98
5499,600,0.98
5499,176,0.92
5499,411,0.98
5499,397,0.02
5499,346.11,0.98
5499,296,0.98
5499,386,0.02
5499,216,0.98
5499,300,0.18
5499,1846,0.62
5499,147,0.62
5499,361,0.92
5499,2142,0.92
5499,150,0.62
5499,630,0.62
5499,281,0.62
5499,468,0.78
5499,600,0.82
5499,1835,0.02
5499,498,0.98
5499,1146,0.98
5499,610,0.82
5499,155,0.62
5499,153,0.42
5499,724.58,0.98
5499,180,0.92
5499,290,0.98
5499,1110,0.98
5499,1113,0.98
5499,366,0.62
5499,634,0.98
5499,133,0.98
5499,1745,0.18
5499,1335.28,0.92
5499,1100,0.98
5499,247,0.92
5499,3650,0.72
5499,15000,0.62
5499,1413,0.98
5499,543,0.98
5499,303.46,0.58
5499,230,0.92
5499,1523,0.02
5499,561,0.92
5499,855,0.02
5499,14.1,0.82
5499,100,0.52
5499,100,0.98
5499,470,0.22
5499,66,0.62
5499,134,0.94
5499,200,0.98
5499,390,0.42
5499,230.5,0.18
5499,530,0.02
5499,247,0.82
5499,725,0.92
5499,397,0.98
5499,481,0.54
5499,300,0.92
5499,325,0.02
5499,130,0.98
5499,315,0.82
5499,437,0.92
5499,5103.25,0.82
5499,289.99,0.92
5499,125,0.18
5499,400,0.02
5499,115.5,1.0
5499,325,0.82
5499,240,0.96
