CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5999,720.0,1.63
5999,324.5,28.35
5999,1000.0,17.29
5999,1000.0,17.29
5999,500.0,16.49
5999,500.0,16.49
5999,695.0,3.32
5999,860.0,7.83
5999,471.0,18.45
5999,479.0,17.91
5999,720.0,1.63
5999,1500.0,51.07
5999,1522.0,52.56
5999,650.0,6.36
5999,423.12,21.69
5999,1184.27,29.74
5999,588.82,10.49
5999,400.0,23.25
5999,310.0,29.33
5999,550.0,13.12
5999,400.0,23.25
5999,1132.21,26.22
5999,1000.0,17.29
5999,464.74,18.88
5999,1140.0,26.75
5999,350.0,26.63
5999,767.4,1.57
5999,1270.0,35.53
5999,560.0,12.44
5999,526.5,14.7
5999,699.0,3.05
5999,320.0,28.66
5999,603.0,9.53
5999,534.0,14.2
5999,800.0,3.78
5999,1021.24,18.73
5999,504.0,16.22
5999,359.0,26.02
5999,740.0,0.28
5999,650.0,6.36
5999,714.0,2.03
5999,872.0,8.64
5999,354.0,26.36
5999,325.0,28.32
5999,1299.0,37.49
5999,460.0,19.2
5999,520.0,15.14
5999,1763.75,68.89
5999,400.0,23.25
5999,1300.0,37.56
5999,549.0,13.18
5999,1272.0,35.67
5999,1125.0,25.74
5999,520.0,15.14
5999,650.0,6.36
5999,1649.0,61.14
5999,620.0,8.39
5999,800.0,3.78
5999,500.0,16.49
5999,620.0,8.39
5999,710.0,2.3
5999,1599.0,57.76
5999,795.0,3.44
5999,930.0,12.56
5999,600.0,9.74
5999,901.0,10.6
5999,1756.0,68.37
5999,500.0,16.49
5999,880.0,9.18
5999,600.0,9.74
5999,470.0,18.52
5999,860.0,7.83
5999,300.0,30.01
5999,680.0,4.33
5999,800.0,3.78
5999,380.0,24.6
5999,380.0,24.6
5999,431.0,21.16
5999,1770.0,69.32
5999,885.0,9.52
5999,952.0,14.05
5999,1514.0,52.02
5999,380.0,24.6
5999,700.0,2.98
5999,473.0,18.32
5999,500.0,16.49
5999,600.0,9.74
5999,1749.0,67.9
5999,591.0,10.35
5999,720.0,1.63
5999,1674.0,62.83
5999,806.0,4.18
5999,948.0,13.78
5999,362.0,25.82
5999,499.0,16.56
5999,1045.0,20.33
5999,520.0,15.14
5999,1450.0,47.7
5999,506.0,16.09
5999,795.0,3.44
5999,500.0,16.49
5999,570.0,11.76
5999,876.0,8.91
5999,965.0,14.93
5999,396.0,23.52
5999,1000.0,17.29
5999,400.0,23.25
5999,485.0,17.51
5999,500.0,16.49
5999,977.0,15.74
5999,770.0,1.75
