CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5812,1047.45,60.44
5812,660.0,13.72
5812,441.0,12.7
5812,494.0,6.3
5812,268.5,33.5
5812,710.0,19.75
5812,416.0,15.71
5812,777.0,27.83
5812,412.0,16.19
5812,640.0,11.3
5812,281.0,31.99
5812,640.0,11.3
5812,680.0,16.13
5812,500.0,5.58
5812,340.0,24.88
5812,294.0,30.42
5812,665.0,14.32
5812,950.0,48.69
5812,338.0,25.12
5812,604.0,6.96
5812,473.0,8.84
5812,930.0,46.28
5812,294.0,30.42
5812,821.0,33.13
5812,470.0,9.2
5812,564.92,2.25
5812,709.0,19.62
5812,686.0,16.85
5812,672.0,15.16
5812,662.0,13.96
5812,600.0,6.48
5812,430.0,14.02
5812,729.0,22.04
5812,430.0,14.02
5812,560.0,1.66
5812,1047.0,60.39
5812,468.0,9.44
5812,980.0,52.31
5812,560.0,1.66
5812,500.0,5.58
5812,823.0,33.37
5812,494.0,6.3
5812,273.0,32.96
5812,400.0,17.64
5812,278.0,32.35
5812,806.0,31.32
5812,623.0,9.25
5812,789.0,29.27
5812,633.0,10.46
5812,590.0,5.27
5812,578.0,3.83
5812,1013.0,56.29
5812,924.0,45.55
5812,663.0,14.08
5812,1000.0,54.72
5812,1065.0,62.56
5812,1031.0,58.46
5812,743.0,23.72
5812,400.0,17.64
5812,400.0,17.64
5812,688.0,17.09
5812,360.0,22.46
5812,485.0,7.39
5812,431.0,13.9
5812,445.0,12.21
5812,500.0,5.58
5812,420.0,15.23
5812,483.0,7.63
5812,392.0,18.61
5812,739.0,23.24
5812,692.0,17.57
5812,491.0,6.67
5812,375.0,20.66
5812,485.0,7.39
5812,499.0,5.7
5812,607.0,7.32
5812,350.0,23.67
5812,260.0,34.52
5812,710.0,19.75
5812,816.0,32.53
5812,611.0,7.81
5812,850.0,36.63
5812,365.4,21.81
5812,335.0,25.48
5812,522.0,2.93
5812,370.0,21.26
5812,1012.0,56.17
5812,360.0,22.46
5812,470.0,9.2
5812,464.0,9.92
5812,970.0,51.1
5812,290.6,30.83
5812,490.0,6.79
5812,490.0,6.79
5812,570.0,2.86
5812,250.0,35.73
5812,809.0,31.68
5812,352.0,23.43
5812,250.0,35.73
5812,561.0,1.78
5812,335.0,25.48
5812,908.0,43.62
5812,262.5,34.22
5812,342.0,24.64
5812,300.0,29.7
5812,278.95,32.24
5812,400.0,17.64
5812,384.0,19.57
5812,845.0,36.03
5812,276.0,32.59
5812,330.0,26.08
5812,352.0,23.43
5812,536.0,1.24
5812,390.0,18.85
5812,463.0,10.04
5812,780.0,28.19
5812,763.0,26.14
5812,520.0,3.17
5812,609.0,7.56
5812,252.0,35.49
5812,320.0,27.29
5812,440.0,12.82
5812,440.0,12.82
5812,277.0,32.47
5812,379.0,20.17
5812,808.0,31.56
5812,795.0,30.0
5812,510.0,4.37
5812,499.0,5.7
5812,628.0,9.86
5812,336.0,25.36
5812,405.0,17.04
5812,470.0,9.2
5812,340.0,24.88
5812,250.0,35.73
5812,602.0,6.72
5812,961.0,50.02
5812,599.0,6.36
5812,619.0,8.77
5812,650.0,12.51
5812,330.0,26.08
5812,1048.0,60.51
5812,818.0,32.77
5812,676.0,15.64
5812,948.0,48.45
5812,539.0,0.88
5812,1045.0,60.15
5812,420.0,15.23
5812,400.0,17.64
5812,347.0,24.03
5812,326.0,26.56
5812,275.98,32.6
5812,480.0,7.99
5812,447.0,11.97
5812,571.0,2.98
5812,300.0,29.7
5812,436.8,13.2
5812,475.0,8.6
5812,480.0,7.99
5812,799.0,30.48
5812,400.0,17.64
5812,410.0,16.43
5812,560.0,1.66
5812,442.0,12.58
5812,460.0,10.4
5812,872.0,39.28
5812,254.0,35.25
5812,400.0,17.64
5812,510.0,4.37
5812,360.0,22.46
5812,586.0,4.79
5812,286.66,31.31
5812,315.0,27.89
5812,340.0,24.88
5812,357.0,22.83
5812,440.48,12.76
5812,489.0,6.91
5812,336.0,25.36
5812,403.0,17.28
5812,541.98,0.52
5812,260.0,34.52
5812,546.0,0.03
5812,287.0,31.27
5812,667.0,14.56
5812,466.0,9.68
5812,389.0,18.97
5812,334.0,25.6
5812,525.0,2.57
5812,280.0,32.11
5812,327.0,26.44
5812,1000.0,54.72
5812,282.0,31.87
5812,443.02,12.45
