CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5921,155.55,0.38
5921,360,0.62
5921,1300,0.82
5921,322,0.12
5921,1090,0.82
5921,350,0.22
5921,230,0.62
5921,400,0.98
5921,450,0.38
5921,22.38,0.22
5921,2010,0.22
5921,800,0.98
5921,610,0.98
5921,38.95,0.02
5921,360,1.0
5921,360,1.01
5921,883,0.38
5921,450,1.02
5921,180,0.98
5921,1253,0.82
5921,140,0.18
5921,20000,0.82
5921,204,0.92
5921,480,1.0
5921,9390,0.72
5921,618,0.64
5921,680,0.02
5921,110,0.98
5921,246,0.92
5921,1400,1.01
5921,2740,0.18
5921,540,0.22
5921,200,0.72
5921,225,0.82
5921,800,0.12
5921,133,98.98
5921,240,98.98
5921,320,0.02
5921,3142,0.82
5921,1374,0.82
5921,170,0.82
5921,327,0.62
5921,240,0.8
5921,572,0.18
5921,150,0.62
5921,480,0.98
5921,246,0.98
5921,1120,0.98
5921,755,0.22
5921,1704,0.98
5921,663,0.98
5921,2200,0.92
5921,510,0.92
5921,306,0.62
5921,375,0.92
5921,375,0.62
5921,525,0.98
5921,920,0.98
5921,680,0.98
5921,840,0.18
5921,1070,0.62
5921,207,0.98
5921,1260,0.62
5921,255,0.62
5921,980,0.98
5921,1020,0.38
5921,380,0.02
5921,510,0.42
5921,510,0.82
5921,260,0.98
5921,447,0.02
5921,165,0.72
5921,420,0.94
5921,780,0.22
5921,450,0.02
5921,350,0.42
5921,2295,0.98
5921,1750,0.98
5921,425,0.62
5921,300,0.22
5921,7320,0.62
5921,1500,0.58
5921,130,0.02
5921,1575,0.02
5921,744,0.98
5921,260,0.52
5921,800,0.92
5921,240,0.22
5921,380,0.02
5921,690,0.74
5921,1395,0.02
5921,275,0.92
5921,150,0.02
5921,1550,0.98
5921,2350,0.82
5921,1500,0.62
5921,350,0.98
5921,150,0.62
5921,1970,0.98
5921,536,0.52
5921,5440,0.92
5921,1110,0.92
5921,420,0.82
5921,410,0.52
5921,140,0.82
5921,250,0.82
5921,100,0.22
5921,1000,0.62
5921,421,0.98
5921,500,0.18
5921,312,0.22
5921,120,0.02
5921,565,0.02
5921,280,0.82
5921,200,0.02
5921,580,0.02
5921,100,0.82
5921,460,0.42
5921,500,0.18
5921,902,0.82
5921,245,0.98
5921,1025,0.98
5921,100,0.92
5921,400,0.98
5921,360,0.02
5921,3840,0.98
5921,100,0.98
