CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5814,358,0.38
5814,205,0.62
5814,218.4,0.82
5814,2433,0.12
5814,280,0.82
5814,179,0.22
5814,1969,0.62
5814,271.25,0.98
5814,271.25,0.38
5814,641,0.22
5814,178.9,0.22
5814,139,0.98
5814,27,0.98
5814,162.76,0.02
5814,320,1.0
5814,830,1.01
5814,231,0.38
5814,1373,1.02
5814,27,0.98
5814,355,0.82
5814,144.9,0.18
5814,645,0.82
5814,189,0.92
5814,125,1.0
5814,5676.75,0.72
5814,700,0.64
5814,656.26,0.02
5814,1491,0.98
5814,342,0.92
5814,630,1.01
5814,721,0.18
5814,211,0.22
5814,140,0.72
5814,99,0.82
5814,267,0.12
5814,433.66,98.98
5814,471,98.98
5814,311.86,0.02
5814,496.68,0.82
5814,220,0.82
5814,550,0.82
5814,573.3,0.62
5814,102.9,0.8
5814,614,0.18
5814,395.84,0.62
5814,195.1,0.98
5814,627.9,0.98
5814,80.86,0.98
5814,113.4,0.22
5814,160.66,0.98
5814,1155,0.98
5814,309.75,0.92
5814,1201,0.92
5814,177.46,0.62
5814,177.46,0.92
5814,1201,0.62
5814,1201,0.98
5814,438,0.98
5814,438,0.98
5814,471,0.18
5814,935,0.62
5814,145,0.98
5814,3.98,0.62
5814,8446,0.62
5814,964,0.98
5814,18.9,0.38
5814,508,0.02
5814,216.92,0.42
5814,3439,0.82
5814,1000,0.98
5814,676,0.02
5814,150,0.72
5814,146,0.94
5814,260,0.22
5814,842,0.02
5814,158,0.42
5814,385,0.98
5814,5.12,0.98
5814,223,0.62
5814,3864,0.22
5814,27.01,0.62
5814,594,0.58
5814,428.4,0.02
5814,119.7,0.02
5814,444,0.98
5814,16.43,0.52
5814,121,0.92
5814,2.18,0.22
5814,255,0.02
5814,246,0.74
5814,399.5,0.02
5814,9,0.92
5814,920,0.02
5814,146,0.98
5814,1444,0.82
5814,194.25,0.62
5814,5.5,0.98
5814,1265,0.62
5814,355,0.98
5814,788.56,0.52
5814,32.41,0.92
5814,19,0.92
5814,25,0.82
5814,2697,0.52
5814,480,0.82
5814,2.75,0.82
5814,2.75,0.22
5814,65,0.62
5814,145.95,0.98
5814,24,0.18
5814,10.91,0.22
5814,146.08,0.02
5814,32.39,0.02
5814,8.5,0.82
5814,19.98,0.02
5814,425,0.02
5814,232,0.82
5814,555,0.42
5814,267,0.18
5814,352,0.82
5814,481,0.98
5814,170,0.98
5814,240,0.92
5814,114,0.98
5814,201,0.02
5814,131,0.98
5814,94.61,0.98
5814,557.56,0.02
5814,385.36,0.98
5814,455,0.18
5814,349,0.62
5814,690,0.62
5814,1070,0.92
5814,490,0.92
5814,125.01,0.62
5814,552,0.62
5814,1667,0.62
5814,124,0.78
5814,180,0.82
5814,190,0.02
5814,189,0.98
5814,116,0.98
5814,568,0.82
5814,343,0.62
5814,262,0.42
5814,405,0.98
5814,136,0.92
5814,445,0.98
5814,191,0.98
5814,440,0.98
5814,90,0.62
5814,305,0.98
5814,110,0.98
5814,304,0.18
5814,219,0.92
5814,588,0.98
5814,330,0.92
5814,220,0.72
5814,21,0.62
5814,10,0.98
5814,575,0.98
5814,790,0.58
5814,123,0.92
5814,252,0.02
5814,298,0.92
5814,155,0.02
5814,246,0.82
5814,300,0.52
5814,315,0.98
5814,287,0.22
5814,189,0.62
5814,250,0.94
5814,106,0.98
5814,525,0.42
5814,21.4,0.18
5814,329,0.02
5814,1870,0.82
5814,570,0.92
5814,913.05,0.98
5814,190,0.54
5814,60,0.92
5814,278,0.02
5814,351,0.98
5814,284,0.82
5814,313,0.92
5814,118,0.82
5814,80,0.92
5814,26000,0.18
5814,89,0.02
5814,1057,1.0
5814,568,0.82
5814,32,0.96
5814,406,0.98
5814,311,0.42
5814,124,0.9
5814,320,0.92
5814,600,0.92
5814,113,0.02
5814,400,0.82
5814,1296,0.92
5814,123,0.42
5814,698.26,0.02
5814,566,0.22
5814,180,0.02
5814,244.66,0.62
5814,165,0.86
5814,118.3,0.58
5814,165,0.92
5814,150,0.52
5814,231,0.02
5814,380,0.42
5814,735,0.72
5814,149,0.82
5814,100,0.62
5814,103.2,0.02
5814,1651,0.98
5814,302.4,0.82
5814,653,0.42
5814,136,0.18
5814,1511,0.18
5814,404.26,0.48
5814,80,0.92
5814,420,0.98
5814,73.5,1.0
5814,523,0.98
5814,126,0.42
5814,130,0.98
5814,800,0.98
5814,1940,0.02
5814,844,0.32
5814,480,0.22
5814,342,0.72
5814,591,0.52
5814,135,0.98
5814,264.02,0.98
5814,305,0.82
5814,490,1.0
5814,75.6,0.58
5814,219.45,0.82
5814,345,0.98
5814,180,0.02
5814,374,0.62
5814,711.27,0.38
5814,105,0.98
5814,249,0.98
5814,246,0.42
5814,146,0.92
5814,745.68,0.92
5814,386.4,0.62
5814,603,0.52
5814,298.2,0.06
5814,540,0.02
5814,70,0.42
5814,1403,0.98
5814,194,0.42
5814,79,0.98
5814,647,0.98
5814,682,0.38
5814,450,0.92
5814,618.46,1.01
5814,459,0.82
5814,428,0.42
5814,508,0.9
5814,350,0.72
5814,376,0.96
5814,535,0.98
5814,721,0.62
5814,459,0.82
5814,750,0.92
5814,140,0.02
5814,1358.7,0.62
5814,1753,0.02
5814,400,2.98
5814,163,0.82
5814,390,0.82
5814,395,0.62
5814,176,0.62
5814,214.5,0.98
5814,609,0.82
5814,140.7,0.82
5814,553,0.22
5814,400,0.02
5814,124.96,0.92
5814,243.64,0.52
5814,30,0.22
5814,313.95,0.82
5814,715,0.72
5814,252,0.92
5814,190,0.62
5814,400,0.92
5814,527,0.98
5814,321,0.42
5814,93.44,0.48
5814,694,0.02
5814,170,0.02
5814,1186,0.98
5814,1175,0.82
5814,704,0.98
5814,491,0.82
5814,116,0.82
5814,614,0.98
5814,737,0.82
5814,370,0.52
5814,214,0.02
5814,360,0.96
5814,285,0.92
5814,720,0.92
5814,326.3,0.98
5814,172,0.62
5814,1031,0.82
5814,310,0.62
5814,1177,0.74
5814,512,0.82
5814,1028,0.62
5814,280,0.96
5814,225.94,0.02
5814,418,0.62
5814,200,0.62
5814,348.75,0.98
5814,572,0.68
5814,120,0.98
5814,689.6,0.02
5814,310,0.38
5814,157,0.98
5814,372,0.52
5814,1545,0.82
5814,866.54,0.92
5814,148,0.82
5814,349,0.98
5814,609,1.02
5814,280,0.02
5814,393,0.62
5814,417,0.38
5814,1060,0.92
5814,217,0.02
5814,117,0.02
5814,417,0.98
5814,1292,0.02
5814,1507,0.62
5814,509,0.98
5814,662,0.82
5814,576,0.58
5814,124,0.42
5814,357,0.98
5814,110,0.92
5814,1056,0.22
5814,1350,0.92
5814,592.75,0.82
5814,309,0.02
5814,14.4,0.3
5814,443,0.22
5814,656,0.98
5814,248,0.92
5814,348,0.98
5814,100,0.98
5814,380,0.98
5814,89,0.22
5814,596,0.62
5814,395,0.22
5814,488.64,1.0
5814,229,0.72
5814,1779,0.02
5814,1240,0.62
5814,360,0.92
5814,270,0.02
