CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
4121,1,0.38
4121,11.42,0.62
4121,23.5,0.82
4121,38.46,0.12
4121,14,0.82
4121,6.85,0.22
4121,81.54,0.62
4121,7.45,0.98
4121,109.28,0.38
4121,13.13,0.22
4121,123.21,0.22
4121,8.08,0.98
4121,10,0.98
4121,6.44,0.02
4121,34.76,1.0
4121,127.17,1.01
4121,9.35,0.38
4121,10.36,1.02
4121,121.62,0.98
4121,1,0.82
4121,390,0.18
4121,1,0.82
4121,168.66,0.92
4121,1,1.0
4121,810,0.72
4121,34.67,0.64
4121,89.52,0.02
4121,82.31,0.98
4121,190.67,0.92
4121,157.05,1.01
4121,599,0.18
4121,1,0.22
4121,98,0.72
4121,69.51,0.82
4121,331.77,0.12
4121,1795,98.98
4121,103.39,98.98
4121,14.41,0.02
4121,1999,0.82
4121,1029.11,0.82
4121,337.57,0.82
4121,1,0.62
4121,8.08,0.8
4121,1,0.18
4121,65.14,0.62
4121,1,0.98
4121,20,0.98
4121,400,0.98
4121,66.08,0.22
4121,148,0.98
4121,999,0.98
4121,240,0.92
4121,250,0.92
4121,1000,0.62
4121,22.5,0.92
4121,129.52,0.62
4121,69.51,0.98
4121,0.7,0.98
4121,21.46,0.98
4121,64.82,0.18
4121,1,0.62
4121,476.2,0.98
4121,325.34,0.62
4121,1999,0.62
4121,599,0.98
4121,678,0.38
4121,293.54,0.02
4121,477.39,0.42
4121,1,0.82
4121,149.88,0.98
4121,1500,0.02
4121,999,0.72
4121,999,0.94
4121,50,0.22
4121,25,0.02
4121,287.54,0.42
4121,36,0.98
4121,193.64,0.98
4121,337,0.62
4121,1,0.22
4121,599,0.62
4121,1,0.58
4121,136.68,0.02
4121,69,0.02
4121,999,0.98
4121,156,0.52
4121,599,0.92
4121,70,0.22
4121,1,0.02
4121,200,0.74
4121,7.1,0.02
4121,38.07,0.92
4121,924,0.02
4121,5.82,0.98
4121,599,0.82
4121,599,0.62
4121,1,0.98
4121,107.67,0.62
4121,318.39,0.98
4121,1,0.52
4121,39,0.92
4121,36,0.92
4121,113,0.82
4121,232,0.52
4121,999,0.82
4121,150,0.82
4121,467,0.22
4121,4000,0.62
4121,85,0.98
4121,500,0.18
4121,44,0.22
4121,161.83,0.02
4121,599,0.02
4121,40,0.82
4121,190,0.02
4121,8.25,0.02
4121,9.59,0.82
4121,162,0.42
4121,9.1,0.18
4121,2000,0.82
4121,130.74,0.98
4121,47.25,0.98
4121,283.81,0.92
4121,599,0.98
4121,209.01,0.02
4121,1048,0.98
4121,145,0.98
4121,160.23,0.02
4121,337.12,0.98
4121,287.67,0.18
4121,118.87,0.62
4121,444,0.62
4121,1999,0.92
4121,277,0.92
4121,999,0.62
4121,599,0.62
4121,221.81,0.62
4121,143.07,0.78
4121,70,0.82
4121,780,0.02
4121,1500,0.98
4121,77.75,0.98
4121,599,0.82
4121,122.41,0.62
4121,1,0.42
4121,1237,0.98
4121,299.7,0.92
4121,971,0.98
4121,1,0.98
4121,3000,0.98
4121,139.51,0.62
4121,266.93,0.98
4121,59.51,0.98
4121,500,0.18
4121,1,0.92
4121,304,0.98
4121,1,0.92
4121,323.19,0.72
4121,225.47,0.62
4121,475.28,0.98
4121,2090,0.98
4121,88.87,0.58
4121,247.72,0.92
4121,599,0.02
