CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5533,2116,0.38
5533,21000,0.62
5533,980,0.82
5533,330,0.12
5533,856,0.82
5533,1270,0.22
5533,1290,0.62
5533,1430,0.98
5533,12750,0.38
5533,1190,0.22
5533,20400,0.22
5533,5645,0.98
5533,1341,0.98
5533,50000,0.02
5533,5432,1.0
5533,627,1.01
5533,1200,0.38
5533,120,1.02
5533,2900,0.98
5533,450,0.82
5533,749,0.18
5533,2100,0.82
5533,2169,0.92
5533,40000,1.0
5533,1420,0.72
5533,11780,0.64
5533,1169,0.02
5533,4559,0.98
5533,400,0.92
5533,5047,1.01
5533,950,0.18
5533,1500,0.22
5533,2700,0.72
5533,4000,0.82
5533,1470,0.12
5533,5130,98.98
5533,5200,98.98
5533,330,0.02
5533,1900,0.82
5533,5000,0.82
5533,1500,0.82
5533,2200,0.62
5533,10640,0.8
5533,6300,0.18
5533,1744,0.62
5533,24611,0.98
5533,4000,0.98
5533,5800,0.98
5533,16198,0.22
5533,1750,0.98
5533,3300,0.98
5533,252,0.92
5533,225,0.92
5533,950,0.62
5533,5867,0.92
5533,224,0.62
5533,2000,0.98
5533,4679,0.98
5533,3170,0.98
5533,475,0.18
5533,413,0.62
5533,2980,0.98
5533,1330,0.62
5533,717,0.62
5533,4894,0.98
5533,1950,0.38
5533,350,0.02
5533,35000,0.42
5533,1081,0.82
5533,13000,0.98
5533,4550,0.02
5533,10500,0.72
5533,2000,0.94
5533,599,0.22
5533,450,0.02
5533,11652,0.42
5533,18005,0.98
5533,930,0.98
5533,2406,0.62
5533,1910,0.22
5533,833,0.62
5533,650,0.58
5533,5000,0.02
5533,1480,0.02
5533,3400,0.98
5533,350,0.52
5533,500,0.92
5533,579,0.22
5533,330,0.02
5533,1075,0.74
5533,25736,0.02
5533,130000,0.92
5533,8000,0.02
5533,1750,0.98
5533,1040,0.82
5533,7277,0.62
5533,112,0.98
5533,650,0.62
5533,60856,0.98
5533,9900,0.52
5533,15000,0.92
5533,50000,0.92
5533,230,0.82
5533,1900,0.52
5533,2300,0.82
5533,300,0.82
5533,1500,0.22
5533,15360,0.62
5533,6300,0.98
5533,4000,0.18
5533,3300,0.22
5533,2300,0.02
5533,15360,0.02
5533,1000,0.82
5533,1000,0.02
5533,1570,0.02
5533,120,0.82
5533,9500,0.42
5533,710,0.18
5533,4300,0.82
5533,4250,0.98
5533,800,0.98
5533,890,0.92
5533,517,0.98
5533,517,0.02
5533,971,0.98
5533,250,0.98
5533,480,0.02
5533,360,0.98
5533,2152,0.18
5533,300,0.62
5533,700,0.62
5533,300,0.92
5533,6750,0.92
5533,1581,0.62
5533,13800,0.62
5533,1000,0.62
5533,10000,0.78
5533,550,0.82
5533,2291,0.02
5533,1250,0.98
5533,1138,0.98
5533,9808,0.82
5533,3750,0.62
5533,11000,0.42
5533,4400,0.98
5533,1850,0.92
5533,630,0.98
5533,1055,0.98
5533,40000,0.98
5533,1808,0.62
5533,3302,0.98
5533,1000,0.98
5533,550,0.18
5533,7907,0.92
5533,16500,0.98
5533,2400,0.92
5533,475,0.72
5533,2000,0.62
5533,1626,0.98
5533,450,0.98
5533,550,0.58
5533,205,0.92
5533,1408,0.02
5533,1300,0.92
5533,320,0.02
