CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
9311,6520,0.38
9311,31530,0.62
9311,136,0.82
9311,9021,0.12
9311,1015,0.82
9311,1015,0.22
9311,1118.07,0.62
9311,2458.84,0.98
9311,14160,0.38
9311,26217,0.22
9311,2000,0.22
9311,3823,0.98
9311,2136,0.98
9311,6836,0.02
9311,3054,1.0
9311,100,1.01
9311,4845.67,0.38
9311,897.87,1.02
9311,5511,0.98
9311,2926,0.82
9311,1524.59,0.18
9311,675,0.82
9311,5774.8,0.92
9311,240,1.0
9311,590,0.72
9311,390,0.64
9311,710,0.02
9311,190,0.98
9311,700,0.92
9311,440,1.01
9311,435,0.18
9311,670,0.22
9311,810,0.72
9311,470,0.82
9311,510,0.12
9311,500,98.98
9311,5600,98.98
9311,2700,0.02
9311,6950,0.82
9311,41000,0.82
9311,30000,0.82
9311,48200,0.62
9311,320,0.8
9311,16000,0.18
9311,1750,0.62
9311,700,0.98
9311,250,0.98
9311,3150,0.98
9311,1660,0.22
9311,4010,0.98
9311,2750,0.98
9311,1250,0.92
9311,3930,0.92
9311,590,0.62
9311,36000,0.92
9311,850,0.62
9311,1015,0.98
9311,2110,0.98
9311,3220,0.98
