CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
4112,310.8,0.38
4112,19577,0.62
4112,1503,0.82
4112,3308.82,0.12
4112,1277.59,0.82
4112,740,0.22
4112,147.61,0.62
4112,248.75,0.98
4112,1305,0.38
4112,597.43,0.22
4112,440,0.22
4112,1305,0.98
4112,536.15,0.98
4112,970.18,0.02
4112,6365,1.0
4112,650,1.01
4112,4076.59,0.38
4112,2103.75,1.02
4112,1450.16,0.98
4112,2696.07,0.82
4112,1583.01,0.18
4112,437.74,0.82
4112,3063.72,0.92
4112,2558.21,1.0
4112,1205.06,0.72
4112,2022.06,0.64
4112,3737.74,0.02
4112,2052.73,0.98
4112,437.74,0.92
4112,425,1.01
4112,3737.74,0.18
4112,1245.91,0.22
4112,5729.16,0.72
4112,2480,0.82
4112,820.87,0.12
4112,510.62,98.98
4112,188.4,98.98
4112,316.58,0.02
4112,390,0.82
4112,260.42,0.82
4112,5415,0.82
4112,3300,0.62
4112,265.52,0.8
4112,316.58,0.18
4112,2240,0.62
4112,3500,0.98
4112,1501.22,0.98
4112,1000.82,0.98
4112,505.51,0.22
4112,434.03,0.98
4112,469.77,0.98
4112,342.12,0.92
4112,1261.23,0.92
4112,2716.5,0.62
4112,1460.37,0.92
4112,1480.8,0.62
4112,1450.16,0.98
4112,5415,0.98
4112,5039.82,0.98
4112,1031.45,0.18
4112,2333.53,0.62
4112,587.21,0.98
4112,135,0.62
4112,3000,0.62
4112,5370,0.98
4112,617.85,0.38
4112,3116.19,0.02
4112,582.11,0.42
4112,6546.15,0.82
4112,188.93,0.98
4112,4289.21,0.02
4112,3460,0.72
4112,2471.4,0.94
4112,505.51,0.22
4112,700,0.02
4112,1370,0.42
4112,3250,0.98
4112,1725,0.98
4112,3446.69,0.62
4112,5330.87,0.22
4112,531.04,0.62
4112,8240,0.58
4112,1425,0.02
4112,1557.39,0.02
4112,102.12,0.98
4112,3480,0.52
4112,668.91,0.92
4112,1102.94,0.22
4112,1031.45,0.02
4112,1625,0.74
4112,1750,0.02
4112,2520,0.92
4112,565,0.02
4112,2500,0.98
4112,1485.9,0.82
4112,4350.48,0.62
4112,2105,0.98
4112,1130,0.62
4112,390,0.98
4112,2460,0.52
4112,1322.51,0.92
4112,1795,0.92
4112,1015,0.82
4112,13600,0.52
4112,970,0.82
4112,1865,0.82
4112,805,0.22
4112,142.97,0.62
4112,3100,0.98
4112,1710.58,0.18
4112,2160,0.22
4112,86.53,0.02
4112,620,0.02
4112,1194.85,0.82
4112,1914.83,0.02
4112,730,0.02
4112,1015,0.82
4112,115,0.42
4112,1080,0.18
4112,2160,0.82
4112,320,0.98
4112,102.12,0.98
4112,1865,0.92
4112,2353.96,0.98
4112,1990,0.02
4112,4395,0.98
4112,847.63,0.98
4112,2850,0.02
4112,5355,0.98
4112,645,0.18
4112,1404.21,0.62
4112,1425,0.62
4112,1092.73,0.92
4112,1154,0.92
4112,875,0.62
4112,1220.38,0.62
4112,250,0.62
4112,571.89,0.78
4112,1041.66,0.82
4112,500,0.02
4112,1516.82,0.98
4112,91.91,0.98
4112,987.46,0.82
4112,306.37,0.62
4112,600,0.42
4112,670,0.98
4112,1155,0.92
4112,888.48,0.98
4112,413.6,0.98
4112,1893.38,0.98
4112,990,0.62
4112,3060,0.98
4112,520.83,0.98
4112,1335,0.18
4112,245.1,0.92
4112,4325,0.98
4112,1016.13,0.92
4112,1130,0.72
4112,360,0.62
4112,301.27,0.98
4112,3600,0.98
4112,895,0.58
4112,2080,0.92
4112,7120,0.02
4112,270.63,0.92
4112,5140,0.02
4112,885.67,0.82
4112,5330.87,0.52
4112,525,0.98
4112,1613.56,0.22
4112,91.91,0.62
4112,301.27,0.94
4112,1700.36,0.98
4112,500,0.42
4112,1271.44,0.18
4112,580,0.02
4112,330,0.82
4112,638.28,0.92
4112,1335,0.98
4112,2190,0.54
4112,640,0.92
4112,218.87,0.02
4112,2629.69,0.98
4112,100,0.82
4112,878.27,0.92
4112,847.63,0.82
4112,385,0.92
4112,428.92,0.18
4112,415,0.02
4112,1730,1.0
4112,350,0.82
4112,1485,0.96
4112,870,0.98
4112,2353.96,0.42
4112,1879.08,0.9
4112,200,0.92
4112,1035,0.92
4112,735.29,0.02
4112,377.86,0.82
4112,270.63,0.92
4112,600,0.42
4112,2813.52,0.02
4112,1570,0.22
4112,6015,0.02
4112,183.82,0.62
4112,1020,0.86
4112,301.27,0.58
4112,199.14,0.92
4112,956.92,0.52
4112,1695,0.02
4112,275,0.42
4112,219.57,0.72
4112,1305,0.82
4112,1879.08,0.62
4112,301.27,0.02
4112,183.82,0.98
4112,439.13,0.82
4112,2103.75,0.42
4112,995.71,0.18
4112,360,0.18
4112,2308.04,0.48
4112,2282.51,0.92
4112,1455.27,0.98
4112,2233.77,1.0
4112,2772.67,0.98
4112,875,0.42
4112,985.05,0.98
4112,898.69,0.98
4112,575,0.02
4112,750.61,0.32
4112,674.02,0.22
4112,2869.68,0.72
4112,1240.81,0.52
4112,1605,0.98
4112,380,0.98
4112,745.51,0.82
4112,1620,1.0
4112,7143.69,0.58
4112,545,0.82
4112,3380.3,0.98
4112,855,0.02
4112,990.6,0.62
4112,730.19,0.38
4112,2620,0.98
4112,469.77,0.98
4112,495,0.42
4112,1286.76,0.92
4112,1195,0.92
4112,220,0.62
4112,893.59,0.52
4112,1035,0.06
4112,519.19,0.02
4112,440,0.42
4112,515,0.98
4112,265.52,0.42
4112,1099.47,0.98
4112,760.82,0.98
4112,66.17,0.38
4112,270,0.92
4112,295,1.01
4112,515,0.82
4112,1760,0.42
4112,495.3,0.9
4112,235,0.72
4112,265.52,0.96
4112,1189.74,0.98
4112,622.96,0.62
4112,2006.74,0.82
4112,4243.25,0.92
4112,5355,0.02
4112,510.62,0.62
4112,684.23,0.02
4112,385,2.98
4112,4243.25,0.82
4112,320,0.82
4112,2070,0.62
4112,86.53,0.62
4112,4243.25,0.98
4112,86.53,0.82
4112,1965,0.82
4112,316.58,0.22
4112,2920,0.02
4112,3680,0.92
4112,525.94,0.52
4112,560.11,0.22
4112,479.98,0.82
4112,1439.95,0.72
4112,570,0.92
4112,840.17,0.62
4112,580.26,0.92
4112,822.1,0.98
4112,4493.54,0.42
4112,725,0.48
4112,3680,0.02
4112,1307.19,0.02
4112,403.39,0.98
4112,1690.15,0.82
4112,655,0.98
4112,1639.09,0.82
4112,1102.94,0.82
4112,2670,0.98
4112,480,0.82
4112,500,0.52
4112,250.2,0.02
4112,3109.68,0.96
4112,40,0.92
4112,1434.84,0.92
4112,210,0.98
4112,640,0.62
4112,1051.88,0.82
4112,1879.08,0.62
4112,539.75,0.74
4112,880,0.82
4112,844.94,0.62
4112,1278.08,0.96
4112,91.91,0.02
4112,107.23,0.62
4112,860.22,0.62
4112,832.31,0.98
4112,750,0.68
4112,1828.02,0.98
4112,1552.28,0.02
4112,382.97,0.38
4112,76.59,0.98
4112,985.05,0.52
4112,2246.73,0.82
4112,1080,0.92
4112,745,0.82
4112,2250,0.98
4112,1405,1.02
4112,700,0.02
4112,888.48,0.62
4112,1082.51,0.38
4112,700,0.92
4112,2120,0.02
4112,2864.58,0.02
4112,760,0.98
4112,295,0.02
4112,622.96,0.62
4112,2260,0.98
4112,4105.38,0.82
4112,760,0.58
4112,460,0.42
4112,107.23,0.98
4112,4181.98,0.92
4112,5785.32,0.22
4112,2655.27,0.92
4112,5844.12,0.82
4112,490,0.02
4112,5844.12,0.3
4112,330,0.22
4112,1051.88,0.98
4112,330,0.92
4112,337.01,0.98
4112,2389.7,0.98
4112,1245,0.98
4112,450,0.22
4112,500.41,0.62
4112,2619.48,0.22
4112,490.2,1.0
4112,2777.77,0.72
4112,1080,0.02
4112,1960.78,0.62
4112,1021.24,0.92
4112,2941.17,0.02
4112,490,0.62
4112,8145,0.98
4112,980.39,0.98
4112,1785,0.62
4112,6597.21,0.62
4112,755.72,0.22
4112,1388.89,0.82
4112,1123.36,0.02
4112,2787.99,0.02
4112,980.39,0.92
4112,898.69,0.98
4112,475,0.98
4112,929.33,0.98
4112,3599.87,0.62
4112,865,0.82
4112,280,0.62
4112,367.65,0.92
4112,1792.28,0.48
4112,2767.56,1.0
4112,145,0.92
4112,479.98,0.58
4112,2573.52,0.62
4112,870,0.92
4112,4391.33,0.92
4112,1055,0.82
4112,585.57,6.98
4112,1252.14,1.98
4112,173.06,2.98
4112,1501.22,0.62
4112,2880,0.62
4112,758.7,0.92
4112,390,0.96
4112,1138.68,0.82
4112,102.12,0.92
4112,1655,3.06
4112,641.59,2.06
4112,102.12,1.98
4112,490,1.98
4112,4380,0.92
4112,351.34,0.02
4112,1705,0.62
4112,815.9,0.02
4112,4650,0.82
4112,1855,0.62
4112,566.79,0.98
4112,1935,0.38
4112,880,0.02
4112,1159.11,0.98
4112,4861.1,0.62
4112,1500,0.62
4112,730,0.62
4112,1570,0.98
4112,1159.11,0.38
4112,195,0.62
4112,12000,0.82
4112,1705.15,0.98
4112,10,0.18
4112,285.95,0.62
4112,285.95,0.98
4112,234.89,0.02
4112,2240,0.98
4112,148.08,0.82
4112,183.82,0.92
4112,815,0.08
4112,1123.36,0.12
4112,525.94,0.92
4112,1485,0.98
4112,921.3,0.98
4112,905,0.62
4112,830,1.0
4112,1471.01,0.98
4112,173.13,0.78
4112,315,1.0
4112,173.13,0.78
4112,1360,0.02
4112,168.5,0.82
4112,2380,0.02
4112,285,0.98
4112,875,0.82
4112,5341.18,0.92
4112,2380,0.98
4112,377.86,0.98
4112,875,0.02
4112,665,0.98
4112,450,0.72
4112,995.71,0.98
4112,398.28,0.98
4112,448.09,0.98
4112,1383.78,0.02
4112,1045,0.64
4112,450,0.82
4112,350,0.92
4112,1981.21,0.92
4112,1282.7,0.42
4112,180,0.02
4112,107.23,0.88
4112,1374.32,0.02
4112,1490,0.98
4112,1981.21,0.02
4112,730,0.02
4112,5480,0.02
4112,865,0.98
4112,66,0.98
4112,1705.15,0.98
4112,1429.74,0.62
4112,895,0.62
4112,1695.26,0.02
