CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5940,728,0.38
5940,4400,0.62
5940,1000,0.82
5940,9500,0.12
5940,3440,0.82
5940,6600,0.22
5940,365,0.62
5940,8300,0.98
5940,3698,0.38
5940,1400,0.22
5940,9700,0.22
5940,7210,0.98
5940,9125,0.98
5940,1,0.02
5940,1513,1.0
5940,19500,1.01
5940,14000,0.38
5940,1400,1.02
5940,1450,0.98
5940,3500,0.82
5940,6800,0.18
5940,3080,0.82
5940,660,0.92
5940,14000,1.0
5940,1500,0.72
5940,5200,0.64
5940,3200,0.02
5940,90,0.98
5940,1100,0.92
5940,4400,1.01
5940,500,0.18
5940,19000,0.22
5940,5700,0.72
5940,1950,0.82
5940,1500,0.12
5940,1500,98.98
5940,2800,98.98
5940,3200,0.02
