CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5651,4999,0.38
5651,850,0.62
5651,3417.91,0.82
5651,3470,0.12
5651,20975,0.82
5651,6595,0.22
5651,701.57,0.62
5651,4200,0.98
5651,7544,0.38
5651,2278,0.22
5651,12540,0.22
5651,780,0.98
5651,4799,0.98
5651,3244,0.02
5651,219,1.0
5651,1239,1.01
5651,1980,0.38
5651,14923,1.02
5651,2069.12,0.98
5651,3595,0.82
5651,2948,0.18
5651,3499,0.82
5651,4995,0.92
5651,728,1.0
5651,305,0.72
5651,699,0.64
5651,6999,0.02
5651,2899,0.98
5651,999,0.92
5651,2070,1.01
5651,149,0.18
5651,701.57,0.22
5651,6595,0.72
5651,159.89,0.82
5651,109.91,0.12
5651,67.76,98.98
5651,26.43,98.98
5651,110,0.02
5651,35.93,0.82
5651,42.56,0.82
5651,38.9,0.82
5651,2599,0.62
5651,2770.88,0.8
5651,2280,0.18
5651,930,0.62
5651,1538.88,0.98
5651,4843.67,0.98
5651,700,0.98
5651,700,0.22
5651,1385.94,0.98
5651,1500,0.98
5651,658,0.92
5651,1551.81,0.92
5651,1048.41,0.62
5651,1200,0.92
5651,1797.17,0.62
5651,500,0.98
5651,525,0.98
5651,347,0.98
5651,403,0.18
5651,1384.4,0.62
5651,398,0.98
5651,1467.9,0.62
5651,1025,0.62
5651,1554,0.98
5651,904,0.38
5651,499,0.02
5651,1791.44,0.42
5651,5990,0.82
5651,2730,0.98
5651,438,0.02
5651,2125,0.72
5651,1972,0.94
5651,4033,0.22
5651,961,0.02
5651,2145,0.42
5651,7616,0.98
5651,1799,0.98
5651,5043,0.62
5651,2318.8,0.22
5651,2688,0.62
5651,300,0.58
5651,3866,0.02
5651,5560.11,0.02
5651,1000,0.98
5651,380,0.52
5651,1392,0.92
5651,1485,0.22
5651,1999.5,0.02
5651,527,0.74
5651,4670,0.02
5651,1000,0.92
5651,2680,0.02
5651,990,0.98
5651,2975.49,0.82
5651,8794,0.62
5651,1619.1,0.98
5651,2000,0.62
5651,1600,0.98
5651,1325.37,0.52
5651,1955,0.92
5651,1469,0.92
5651,1895,0.82
5651,4506.76,0.52
5651,1130,0.82
5651,3280,0.82
5651,2500,0.22
5651,900,0.62
5651,6000,0.98
5651,645,0.18
5651,1410,0.22
5651,1054.3,0.02
5651,1990,0.02
5651,1505.2,0.82
5651,3610,0.02
5651,2800,0.02
5651,912,0.82
5651,4048,0.42
5651,1723.68,0.18
5651,240,0.82
5651,93.38,0.98
5651,2146.27,0.98
5651,756,0.92
5651,790,0.98
5651,1847.49,0.02
5651,1250,0.98
5651,999,0.98
5651,5697,0.02
5651,1300,0.98
5651,700,0.18
5651,2029,0.62
5651,315,0.62
5651,3797,0.92
5651,5850.01,0.92
5651,966,0.62
5651,595,0.62
5651,130,0.62
5651,1811.85,0.78
5651,3192.26,0.82
5651,825,0.02
5651,1499,0.98
5651,1992,0.98
5651,19638,0.82
5651,2397,0.62
5651,5579.8,0.42
5651,2598.86,0.98
5651,1300,0.92
5651,3962.5,0.98
5651,4830,0.98
5651,2461,0.98
5651,1288.3,0.62
5651,800,0.98
5651,926,0.98
5651,600,0.18
5651,10891,0.92
5651,1445.01,0.98
5651,3000.5,0.92
5651,1840.82,0.72
5651,850,0.62
5651,4499,0.98
5651,1898,0.98
5651,2422.88,0.58
5651,1348.5,0.92
5651,4199.15,0.02
5651,591,0.92
5651,793.97,0.02
5651,770,0.82
5651,2490,0.52
5651,1650,0.98
5651,3550,0.22
5651,3847,0.62
5651,3188,0.94
5651,2799,0.98
5651,5052.01,0.42
5651,590,0.18
5651,4292,0.02
5651,400,0.82
5651,300,0.92
5651,1599,0.98
5651,1604.2,0.54
5651,1510.27,0.92
5651,153,0.02
5651,2169.44,0.98
5651,3980,0.82
5651,480,0.92
5651,2999,0.82
5651,22163.6,0.92
5651,1846.3,0.18
5651,750,0.02
5651,1867.11,1.0
5651,261.98,0.82
5651,178,0.96
5651,1000,0.98
5651,2300,0.42
5651,1500,0.9
5651,3903,0.92
5651,3325,0.92
5651,2422.36,0.02
5651,3913.5,0.82
5651,4980,0.92
5651,1008.36,0.42
5651,529,0.02
5651,198,0.22
5651,4300,0.02
5651,4348,0.62
5651,299,0.86
5651,2280,0.58
5651,2650,0.92
5651,1718.65,0.52
5651,2119.27,0.02
5651,2254.36,0.42
5651,503.58,0.72
5651,2405.58,0.82
5651,9244,0.62
5651,1460,0.02
5651,199,0.98
5651,2225.18,0.82
5651,250.5,0.42
5651,4000,0.18
5651,1499,0.18
5651,632,0.48
5651,840,0.92
5651,10328.1,0.98
5651,1297,1.0
5651,906.48,0.98
5651,3750,0.42
5651,3698,0.98
5651,1270,0.98
5651,1000,0.02
5651,5000,0.32
5651,280,0.22
5651,4000,0.72
5651,1995,0.52
5651,1319.46,0.98
5651,547,0.98
5651,1305,0.82
5651,264,1.0
5651,1200,0.58
5651,5991.5,0.82
5651,3270,0.98
5651,321.2,0.02
5651,8398.94,0.62
5651,325,0.38
5651,6907,0.98
5651,1216.97,0.98
5651,200,0.42
5651,1949.72,0.92
5651,2700,0.92
5651,1000,0.62
5651,652,0.52
5651,50,0.06
5651,926.5,0.02
5651,1200,0.42
5651,348,0.98
5651,941,0.42
5651,199,0.98
5651,5122.06,0.98
5651,1150,0.38
5651,995,0.92
5651,1395.06,1.01
5651,4840,0.82
5651,249,0.42
5651,1625.92,0.9
5651,1455,0.72
5651,1650,0.96
5651,299.4,0.98
5651,100,0.62
5651,4258,0.82
5651,423,0.92
5651,5120.86,0.02
5651,5519.56,0.62
5651,2461.58,0.02
5651,1676,2.98
5651,1400,0.82
5651,1299,0.82
5651,2997,0.62
5651,2219,0.62
5651,900,0.98
5651,889,0.82
