CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5912,850,0.38
5912,2000,0.62
5912,1459,0.82
5912,187,0.12
5912,280,0.82
5912,1082.48,0.22
5912,1059.5,0.62
5912,1002.75,0.98
5912,292,0.38
5912,277,0.22
5912,145,0.22
5912,450,0.98
5912,150,0.98
5912,205,0.02
5912,1036.96,1.0
5912,177,1.01
5912,1007.33,0.38
5912,1000,1.02
5912,1371,0.98
5912,3.76,0.82
5912,410,0.18
5912,279.02,0.82
5912,275,0.92
5912,119,1.0
5912,1787,0.72
5912,1.75,0.64
5912,1694.92,0.02
5912,597.75,0.98
5912,231.7,0.92
5912,1522.08,1.01
5912,1059.98,0.18
5912,256,0.22
5912,325,0.72
5912,1417,0.82
5912,50,0.12
5912,660,98.98
5912,23.8,98.98
5912,483,0.02
5912,384,0.82
5912,771,0.82
5912,931,0.82
5912,127,0.62
5912,445,0.8
5912,500,0.18
5912,183,0.62
5912,4216,0.98
5912,434,0.98
5912,288.7,0.98
5912,1173,0.22
5912,165,0.98
5912,419,0.98
5912,70.74,0.92
5912,377,0.92
5912,298,0.62
5912,508,0.92
5912,686.5,0.62
5912,236,0.98
5912,800,0.98
5912,1287,0.98
5912,350,0.18
5912,412,0.62
5912,77,0.98
5912,518,0.62
5912,444,0.62
5912,735.3,0.98
5912,298,0.38
5912,560.61,0.02
5912,472,0.42
5912,520,0.82
5912,596,0.98
5912,677,0.02
5912,258,0.72
5912,180,0.94
5912,186,0.22
5912,307,0.02
5912,310,0.42
5912,422,0.98
5912,311,0.98
5912,312.5,0.62
5912,863.86,0.22
5912,1409,0.62
5912,947,0.58
5912,256,0.02
5912,415.5,0.02
5912,199.8,0.98
5912,196,0.52
5912,187,0.92
5912,411,0.22
5912,383,0.02
5912,199,0.74
5912,329,0.02
5912,130,0.92
5912,4033,0.02
5912,190,0.98
5912,350,0.82
5912,668,0.62
5912,2254,0.98
5912,830,0.62
5912,300,0.98
5912,387,0.52
5912,785,0.92
5912,127,0.92
5912,1608.71,0.82
5912,585,0.52
5912,570,0.82
5912,200,0.82
5912,731.5,0.22
5912,60,0.62
5912,864.5,0.98
5912,420,0.18
5912,277.5,0.22
5912,347,0.02
5912,175.65,0.02
5912,463,0.82
5912,490,0.02
5912,211,0.02
5912,130,0.82
5912,699,0.42
5912,75,0.18
5912,495,0.82
5912,900,0.98
5912,520,0.98
5912,759,0.92
5912,1735,0.98
5912,1853,0.02
5912,1647.55,0.98
5912,603,0.98
5912,523,0.02
5912,585,0.98
5912,327,0.18
5912,6800,0.62
5912,1090,0.62
5912,324,0.92
5912,599,0.92
5912,12327,0.62
5912,581,0.62
5912,169,0.62
5912,317,0.78
5912,317,0.82
5912,1096,0.02
5912,1130,0.98
5912,1300,0.98
5912,180,0.82
5912,173,0.62
5912,2569.03,0.42
5912,248,0.98
5912,430,0.92
5912,2268.6,0.98
5912,675,0.98
5912,210,0.98
5912,375,0.62
5912,430,0.98
5912,370,0.98
5912,2891,0.18
5912,225,0.92
5912,177,0.98
5912,304,0.92
5912,258,0.72
5912,726,0.62
5912,730,0.98
5912,1150,0.98
5912,1433.55,0.58
5912,1540,0.92
5912,10300,0.02
5912,205,0.92
5912,64,0.02
5912,180,0.82
5912,295,0.52
5912,248,0.98
5912,1815,0.22
5912,170,0.62
5912,882,0.94
5912,251,0.98
5912,209,0.42
5912,679.25,0.18
5912,799,0.02
5912,2813.8,0.82
5912,290,0.92
5912,246,0.98
5912,220,0.54
5912,780,0.92
5912,1456,0.02
5912,382.5,0.98
5912,424,0.82
5912,1131,0.92
5912,448,0.82
5912,349,0.92
5912,2918,0.18
5912,216,0.02
5912,380,1.0
5912,485,0.82
5912,2450,0.96
5912,153,0.98
5912,1300,0.42
5912,170,0.9
5912,195,0.92
5912,723,0.92
5912,675,0.02
5912,7170,0.82
5912,254,0.92
5912,320,0.42
5912,514,0.02
5912,182,0.22
5912,1300,0.02
5912,447.55,0.62
5912,587,0.86
5912,1339,0.58
5912,717.45,0.92
5912,228.5,0.52
5912,210,0.02
5912,1350,0.42
5912,500,0.72
5912,530,0.82
5912,478.03,0.62
5912,150,0.02
5912,6500,0.98
5912,602,0.82
5912,871,0.42
5912,760,0.18
5912,2000,0.18
5912,335,0.48
5912,989,0.92
5912,445,0.98
5912,350,1.0
5912,103,0.98
5912,1018,0.42
5912,310,0.98
5912,530,0.98
5912,355,0.02
5912,500,0.32
5912,1190,0.22
5912,450,0.72
5912,3205,0.52
5912,307.5,0.98
5912,305,0.98
5912,194,0.82
5912,220,1.0
5912,1590,0.58
5912,1774,0.82
5912,373,0.98
5912,560,0.02
5912,2024,0.62
5912,85,0.38
5912,760,0.98
5912,530,0.98
5912,703,0.42
5912,943,0.92
5912,658,0.92
5912,690,0.62
5912,615,0.52
5912,2400,0.06
5912,3990,0.02
5912,198.75,0.42
5912,2069,0.98
5912,4610,0.42
5912,1739,0.98
5912,447,0.98
5912,195,0.38
5912,7654,0.92
5912,2993,1.01
5912,3450,0.82
5912,338,0.42
5912,632,0.9
5912,494,0.72
5912,90,0.96
5912,603,0.98
5912,4016,0.62
5912,632,0.82
5912,129,0.92
5912,273,0.02
5912,650,0.62
5912,579.97,0.02
5912,280,2.98
5912,1682,0.82
5912,1168,0.82
5912,170,0.62
5912,340,0.62
5912,144,0.98
5912,171,0.82
5912,1118,0.82
5912,490,0.22
5912,158.59,0.02
5912,396.95,0.92
5912,953,0.52
5912,1500,0.22
5912,307,0.82
5912,1021.4,0.72
5912,183,0.92
5912,9,0.62
5912,410,0.92
5912,278,0.98
5912,1170,0.42
5912,467,0.48
5912,205,0.02
5912,1124,0.02
5912,893,0.98
5912,11734,0.82
5912,360,0.98
5912,4334,0.82
5912,103,0.82
5912,620,0.98
5912,674,0.82
5912,442.94,0.52
5912,221,0.02
5912,301,0.96
5912,808,0.92
5912,1808,0.92
5912,1000,0.98
5912,700,0.62
5912,12571,0.82
5912,315,0.62
5912,1855,0.74
5912,426,0.82
5912,565,0.62
5912,1026,0.96
5912,125,0.02
5912,1695,0.62
5912,350,0.62
5912,982.35,0.98
5912,1783,0.68
5912,515,0.98
5912,170,0.02
5912,281,0.38
5912,349,0.98
5912,300,0.52
5912,738,0.82
5912,432,0.92
5912,10500,0.82
5912,77,0.98
5912,196,1.02
5912,1617.4,0.02
5912,1211,0.62
5912,499,0.38
5912,540,0.92
5912,375.5,0.02
5912,600,0.02
5912,560,0.98
5912,144.98,0.02
5912,2245,0.62
5912,410,0.98
5912,390,0.82
5912,1119,0.58
5912,540,0.42
5912,989.7,0.98
5912,208,0.92
5912,410,0.22
5912,100.8,0.92
5912,1011,0.82
5912,384,0.02
5912,427.2,0.3
5912,378,0.22
5912,314,0.98
5912,558,0.92
5912,4600,0.98
5912,450,0.98
5912,811,0.98
5912,324,0.22
5912,100,0.62
5912,899,0.22
5912,239,1.0
5912,285,0.72
5912,82,0.02
5912,313,0.62
5912,2100,0.92
5912,316,0.02
5912,316,0.62
5912,500,0.98
5912,380,0.98
5912,560,0.62
5912,197,0.62
5912,616,0.22
5912,200,0.82
5912,878,0.02
5912,250,0.02
5912,565,0.92
5912,109,0.98
5912,1275,0.98
5912,400,0.98
5912,177,0.62
5912,1039,0.82
5912,326,0.62
5912,78,0.92
5912,220,0.48
5912,412,1.0
5912,160,0.92
5912,1056,0.58
5912,859.76,0.62
5912,493,0.92
5912,1320,0.92
5912,132,0.82
5912,956,6.98
5912,1196,1.98
5912,857,2.98
5912,708,0.62
5912,1614,0.62
5912,248,0.92
5912,1288,0.96
5912,440,0.82
5912,598,0.92
5912,1430,3.06
5912,62,2.06
5912,482,1.98
5912,213,1.98
5912,820,0.92
5912,1311,0.02
5912,333,0.62
5912,241,0.02
5912,238,0.82
5912,800,0.62
5912,120,0.98
5912,120,0.38
5912,600,0.02
5912,600,0.98
5912,844,0.62
5912,2270,0.62
5912,141.75,0.62
5912,140,0.98
5912,260,0.38
5912,1787,0.62
5912,245,0.82
5912,139,0.98
5912,8892.07,0.18
5912,221,0.62
5912,468,0.98
5912,994,0.02
5912,1035,0.98
5912,1603,0.82
5912,1819,0.92
5912,580,0.08
5912,112,0.12
5912,871,0.92
5912,415,0.98
5912,1002,0.98
5912,209,0.62
5912,272.89,1.0
5912,1822,0.98
5912,57,0.78
5912,546,1.0
5912,57,0.78
5912,3770,0.02
5912,852,0.82
5912,979,0.02
5912,22,0.98
5912,1007,0.82
5912,225,0.92
5912,386.2,0.98
5912,360,0.98
5912,840,0.02
5912,4499,0.98
5912,124,0.72
5912,384,0.98
5912,3650,0.98
5912,711.5,0.98
5912,700,0.02
5912,337,0.64
5912,1898.7,0.82
5912,1862,0.92
5912,463,0.92
5912,655,0.42
5912,240,0.02
5912,341.6,0.88
5912,434,0.02
5912,250,0.98
5912,123,0.02
5912,230,0.02
5912,1585,0.02
5912,489,0.98
5912,234,0.98
5912,338.65,0.98
5912,473,0.62
5912,154,0.62
5912,516,0.02
5912,210,0.62
5912,2180,0.92
5912,690.5,0.92
5912,650,0.82
5912,472,0.82
5912,383,0.92
5912,390,0.02
5912,402,0.98
5912,4000,0.98
5912,433,0.98
5912,712,0.02
5912,2860,0.02
5912,272,0.98
5912,79.4,0.98
5912,167,0.62
5912,243.75,0.62
5912,950,0.62
5912,275,0.98
5912,124,0.98
5912,222.75,0.92
5912,120.8,1.0
5912,3467.23,0.92
5912,420,0.48
5912,1219,0.98
5912,914,0.02
5912,674,0.98
5912,993,0.18
5912,35,0.92
5912,105,0.82
5912,5386,1.0
5912,2690,0.82
5912,525,0.94
5912,340,0.92
5912,300,0.92
5912,376,0.62
5912,526,0.94
5912,429,0.02
5912,134,0.02
5912,793.5,0.98
5912,305,0.98
5912,726,0.02
5912,850,0.98
5912,3230,0.98
5912,207,0.62
5912,661,0.42
5912,1145,0.92
5912,634,0.18
5912,645,0.72
5912,139,0.98
5912,957,0.98
5912,215,0.98
