CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5655,114.42,0.38
5655,544.87,0.62
5655,178,0.82
5655,51.79,0.12
5655,7.95,0.82
5655,703,0.22
5655,500,0.62
5655,600,0.98
5655,650,0.38
5655,2640,0.22
5655,597,0.22
5655,6307,0.98
5655,910,0.98
5655,398,0.02
5655,773,1.0
5655,2849,1.01
5655,318,0.38
5655,464,1.02
5655,1500,0.98
5655,9294,0.82
5655,7854,0.18
5655,200,0.82
5655,2477,0.92
5655,1857,1.0
5655,3220,0.72
5655,3376,0.64
5655,2759,0.02
5655,2640,0.98
5655,2515.56,0.92
5655,757,1.01
5655,1048,0.18
5655,70,0.22
5655,1425,0.72
5655,260,0.82
5655,1199,0.12
5655,700,98.98
5655,740,98.98
5655,2798,0.02
5655,995,0.82
5655,27.05,0.82
5655,1300,0.82
5655,3197,0.62
5655,2279,0.8
5655,10,0.18
5655,10,0.62
5655,10,0.98
5655,75.74,0.98
5655,1320,0.98
5655,450,0.22
5655,960,0.98
5655,773,0.98
5655,250,0.92
5655,830,0.92
5655,248,0.62
5655,2295,0.92
5655,2699,0.62
