CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5813,500.0,25.56
5813,1000.0,8.36
5813,359.0,35.13
5813,956.0,5.37
5813,746.0,8.87
5813,1000.0,8.36
5813,945.0,4.63
5813,1197.0,21.72
5813,717.0,10.84
5813,1392.0,34.95
5813,600.0,18.78
5813,994.0,7.95
5813,628.0,16.88
5813,472.0,27.46
5813,1800.0,62.63
5813,500.0,25.56
5813,641.0,16.0
5813,856.0,1.41
5813,540.0,22.85
5813,400.0,32.35
5813,1070.0,13.11
5813,928.0,3.48
5813,1000.0,8.36
5813,994.0,7.95
5813,726.0,10.23
5813,1550.0,45.67
5813,1400.0,35.5
5813,740.0,9.28
5813,828.0,3.31
5813,750.0,8.6
5813,550.0,22.17
5813,1486.0,41.33
5813,679.0,13.42
5813,579.0,20.2
5813,1200.0,21.93
5813,707.0,11.52
5813,1243.0,24.85
5813,1300.0,28.71
5813,1690.0,55.17
5813,633.0,16.54
5813,650.0,15.39
5813,582.0,20.0
5813,1103.0,15.35
5813,1010.0,9.04
5813,900.0,1.58
5813,788.0,6.02
5813,360.0,35.06
5813,536.0,23.12
5813,800.0,5.21
5813,970.0,6.32
5813,841.0,2.43
5813,509.0,24.95
5813,745.0,8.94
5813,830.0,3.17
5813,1108.0,15.69
5813,550.0,22.17
5813,480.0,26.92
5813,670.0,14.03
5813,1575.0,47.37
5813,910.0,2.25
5813,466.0,27.87
5813,1007.0,8.83
5813,720.0,10.64
5813,375.0,34.04
5813,1565.0,46.69
5813,460.0,28.28
5813,1020.0,9.72
5813,835.0,2.83
5813,714.0,11.04
5813,465.0,27.94
5813,1405.0,35.84
5813,1679.0,54.43
5813,950.0,4.97
5813,1417.0,36.65
5813,998.0,8.22
5813,1094.0,14.74
5813,1522.0,43.77
5813,987.0,7.48
5813,934.0,3.88
5813,627.0,16.95
5813,1000.0,8.36
5813,378.0,33.84
5813,612.0,17.96
5813,578.0,20.27
5813,465.0,27.94
5813,660.0,14.71
5813,1344.0,31.7
5813,1020.0,9.72
5813,1645.0,52.12
5813,1326.0,30.48
5813,527.0,23.73
5813,930.0,3.61
5813,640.0,16.06
5813,470.0,27.6
5813,820.0,3.85
5813,566.0,21.08
5813,1446.0,38.62
5813,505.0,25.22
5813,1597.0,48.86
5813,600.0,18.78
5813,1092.0,14.6
5813,700.0,11.99
5813,1333.0,30.95
5813,1092.0,14.6
5813,704.0,11.72
5813,605.0,18.44
5813,1173.0,20.1
5813,450.0,28.95
5813,1325.0,30.41
5813,750.0,8.6
5813,879.0,0.15
5813,1512.0,43.1
5813,1339.0,31.36
5813,368.0,34.52
5813,600.0,18.78
5813,700.0,11.99
5813,582.0,20.0
5813,721.0,10.57
5813,1475.0,40.59
5813,935.0,3.95
5813,425.0,30.65
5813,370.0,34.38
5813,556.0,21.76
5813,614.0,17.83
5813,600.0,18.78
5813,460.0,28.28
5813,855.0,1.48
5813,1510.0,42.96
5813,665.0,14.37
5813,960.0,5.65
5813,1430.0,37.53
5813,370.0,34.38
5813,1771.0,60.67
5813,937.0,4.09
5813,500.0,25.56
5813,500.0,25.56
5813,760.0,7.92
5813,732.0,9.82
5813,409.0,31.74
5813,493.0,26.04
5813,425.0,30.65
