CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
7011,13611.5,0.38
7011,15,0.62
7011,50,0.82
7011,50,0.12
7011,175,0.82
7011,936,0.22
7011,5181,0.62
7011,1072,0.98
7011,569,0.38
7011,1200,0.22
7011,42110.68,0.22
7011,17044.38,0.98
7011,2065,0.98
7011,837.22,0.02
7011,11210,1.0
7011,24780,1.01
7011,1845.4,0.38
7011,4779,1.02
7011,1087,0.98
7011,10643.6,0.82
7011,2508,0.18
7011,182.03,0.82
7011,7000,0.92
7011,14216.12,1.0
7011,837.8,0.72
7011,837.8,0.64
7011,5622.7,0.02
7011,3210,0.98
7011,4940.82,0.92
7011,2557,1.01
7011,118,0.18
7011,1594.84,0.22
7011,701.5,0.72
7011,200,0.82
7011,3241,0.12
7011,1474.42,98.98
7011,160000,98.98
7011,160000,0.02
7011,160000,0.82
7011,89362.04,0.82
7011,89362.04,0.82
7011,182.03,0.62
7011,4000,0.8
7011,2868,0.18
7011,677,0.62
7011,15564,0.98
7011,4720,0.98
7011,260,0.98
7011,1334,0.22
7011,2230,0.98
7011,4452,0.98
7011,4000,0.92
7011,1540,0.92
7011,5293.24,0.62
7011,5000,0.92
7011,5000,0.62
7011,628.75,0.98
7011,30,0.98
7011,3000,0.98
7011,330,0.18
7011,1370,0.62
7011,20000,0.98
7011,2,0.62
7011,1738,0.62
7011,12594,0.98
7011,400,0.38
7011,3500,0.02
7011,16653,0.42
7011,11091.07,0.82
7011,6597,0.98
7011,6026.2,0.02
7011,250,0.72
7011,1423,0.94
7011,1023,0.22
7011,3504,0.02
7011,2400,0.42
7011,331,0.98
7011,1357,0.98
7011,6000,0.62
7011,8738.84,0.22
7011,6000,0.62
7011,3000,0.58
7011,2050,0.02
7011,1000,0.02
7011,850,0.98
7011,670,0.52
7011,1084,0.92
7011,13051,0.22
7011,1800,0.02
7011,45,0.74
7011,824,0.02
7011,1000,0.92
7011,1000,0.02
7011,4820,0.98
7011,310,0.82
7011,310,0.62
7011,599,0.98
7011,3388.67,0.62
7011,100000,0.98
7011,1403,0.52
7011,2000,0.92
7011,1260,0.92
7011,2031.38,0.82
7011,4500,0.52
7011,1700,0.82
7011,2150,0.82
7011,1500,0.22
7011,1800,0.62
7011,2064.91,0.98
7011,7000,0.18
7011,930,0.22
7011,1496,0.02
7011,819,0.02
7011,1100,0.82
7011,1403,0.02
7011,1674.42,0.02
7011,600,0.82
7011,2100,0.42
7011,3835,0.18
7011,598,0.82
7011,1711,0.98
7011,500,0.98
7011,4760,0.92
7011,1593,0.98
7011,295,0.02
7011,5400,0.98
7011,350,0.98
7011,1220,0.02
7011,900,0.98
7011,1129,0.18
7011,700,0.62
7011,2362,0.62
7011,100,0.92
7011,300,0.92
7011,27300,0.62
7011,6490,0.62
7011,3540,0.62
7011,2694,0.78
7011,2,0.82
7011,3784,0.02
7011,2,0.98
7011,3974,0.98
7011,2819,0.82
7011,5400,0.62
7011,4277,0.42
7011,660,0.98
7011,2,0.92
7011,224,0.98
7011,10347,0.98
7011,2,0.98
7011,2,0.62
7011,1772.34,0.98
7011,135,0.98
7011,1352,0.18
7011,30000,0.92
7011,654,0.98
7011,1936,0.92
7011,2,0.72
7011,341,0.62
7011,2,0.98
7011,2000,0.98
7011,7593.3,0.58
7011,600,0.92
7011,10167,0.02
7011,2349,0.92
7011,1220,0.02
7011,36425,0.82
7011,3931.2,0.52
7011,2792,0.98
7011,3791,0.22
7011,25996,0.62
7011,6685,0.94
7011,358,0.98
7011,6330,0.42
7011,10074,0.18
7011,1450,0.02
7011,33770.1,0.82
7011,1673,0.92
7011,50472.68,0.98
7011,2600,0.54
7011,102.82,0.92
7011,175,0.02
7011,2600,0.98
7011,1493,0.82
7011,357,0.92
7011,6048,0.82
7011,2428,0.92
7011,290,0.18
7011,22963.8,0.02
7011,704.9,1.0
7011,1400,0.82
7011,260,0.96
7011,75,0.98
7011,15399,0.42
7011,15399,0.9
7011,6000,0.92
7011,417,0.92
7011,31488,0.02
7011,210,0.82
7011,272,0.92
7011,2997,0.42
7011,2284,0.02
7011,366,0.22
7011,1016,0.02
7011,1372,0.62
7011,240,0.86
7011,1562.32,0.58
7011,374,0.92
7011,3000,0.52
7011,3462,0.02
7011,1997,0.42
7011,2271,0.72
7011,1512,0.82
7011,1344,0.62
7011,5,0.02
7011,15000,0.98
7011,1,0.82
7011,977,0.42
7011,1462,0.18
7011,950,0.18
7011,7918,0.48
7011,2310,0.92
7011,357,0.98
7011,6785,1.0
7011,1532.33,0.98
7011,570,0.42
7011,190,0.98
7011,3958,0.98
7011,2849,0.02
7011,140,0.32
7011,763.52,0.22
7011,393,0.72
7011,12900,0.52
7011,7080,0.98
7011,1400,0.98
7011,1624,0.82
7011,389,1.0
7011,368,0.58
7011,2576,0.82
7011,62014.18,0.98
7011,65,0.02
7011,289,0.62
7011,569,0.38
7011,5192,0.98
7011,206,0.98
7011,2160,0.42
7011,4035.6,0.92
7011,2912,0.92
7011,8677,0.62
7011,15000,0.52
7011,1616,0.06
7011,336,0.02
7011,1464,0.42
7011,22322.7,0.98
7011,788,0.42
7011,5992,0.98
7011,630,0.98
7011,5830,0.38
7011,1345,0.92
7011,1596,1.01
7011,1561,0.82
7011,810,0.42
7011,826,0.9
7011,30514.24,0.72
7011,57.6,0.96
7011,4998,0.98
7011,499,0.62
7011,7962,0.82
7011,315,0.92
7011,744,0.02
7011,396,0.62
7011,8987,0.02
7011,1100,2.98
7011,2645,0.82
7011,11033,0.82
7011,1545,0.62
7011,5310,0.62
7011,6800,0.98
7011,525,0.82
7011,234,0.82
7011,2279,0.22
7011,1865,0.02
7011,859,0.92
7011,592,0.52
7011,2124,0.22
7011,4.5,0.82
7011,543,0.72
