CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5932,300,0.38
5932,244,0.62
5932,1605,0.82
5932,3672,0.12
5932,515,0.82
5932,970,0.22
5932,303,0.62
5932,950,0.98
5932,13296,0.38
5932,1810,0.22
5932,1396,0.22
5932,915,0.98
5932,650,0.98
5932,800,0.02
5932,6000,1.0
5932,1766,1.01
5932,1447,0.38
5932,8195,1.02
5932,1320,0.98
5932,11295,0.82
5932,1195,0.18
5932,1195,0.82
5932,39000,0.92
5932,1195,1.0
5932,17415,0.72
5932,200,0.64
5932,1835,0.02
5932,300,0.98
5932,350,0.92
5932,6955,1.01
5932,5450,0.18
5932,200,0.22
5932,1285,0.72
5932,4396,0.82
