CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5441,2183,0.38
5441,850,0.62
5441,695,0.82
5441,18.35,0.12
5441,440,0.82
5441,210,0.22
5441,536,0.62
5441,95,0.98
5441,45.25,0.38
5441,300,0.22
5441,283,0.22
5441,140,0.98
5441,310,0.98
5441,218,0.02
5441,100,1.0
5441,1718,1.01
5441,1742,0.38
5441,330,1.02
5441,450,0.98
5441,209,0.82
5441,1037,0.18
5441,370,0.82
5441,120,0.92
5441,385,1.0
5441,930,0.72
5441,756,0.64
5441,399,0.02
5441,2450,0.98
5441,960,0.92
5441,155,1.01
5441,1091,0.18
5441,440,0.22
5441,636,0.72
5441,610,0.82
5441,324,0.12
5441,257,98.98
5441,240,98.98
5441,253,0.02
5441,480,0.82
5441,588,0.82
5441,2300,0.82
5441,820,0.62
5441,690,0.8
5441,270,0.18
5441,750,0.62
5441,300,0.98
5441,306,0.98
5441,1250,0.98
5441,550,0.22
5441,415,0.98
5441,1695,0.98
5441,220,0.92
5441,360,0.92
5441,413,0.62
5441,510,0.92
5441,3283,0.62
5441,825,0.98
5441,950,0.98
5441,2020,0.98
5441,320,0.18
5441,154,0.62
5441,490,0.98
5441,1615,0.62
5441,190,0.62
5441,145,0.98
5441,429,0.38
5441,257,0.02
5441,289,0.42
5441,943,0.82
5441,110,0.98
5441,500,0.02
5441,453,0.72
5441,255,0.94
5441,180,0.22
5441,200,0.02
5441,1060,0.42
5441,580,0.98
5441,480,0.98
5441,1280,0.62
5441,203,0.22
5441,350,0.62
5441,509,0.58
5441,587,0.02
5441,720,0.02
5441,135,0.98
5441,126,0.52
5441,120,0.92
5441,1556,0.22
5441,594,0.02
5441,312,0.74
5441,1747,0.02
5441,310,0.92
5441,578,0.02
5441,317,0.98
5441,120,0.82
5441,497,0.62
5441,1740,0.98
5441,708,0.62
5441,3020,0.98
5441,334,0.52
5441,406,0.92
5441,480,0.92
5441,128,0.82
5441,340,0.52
5441,696,0.82
5441,441,0.82
5441,948,0.22
5441,648,0.62
5441,320,0.98
5441,240,0.18
5441,219,0.22
5441,120,0.02
5441,3540,0.02
5441,3000,0.82
5441,1050,0.02
5441,380,0.02
5441,1098,0.82
5441,64,0.42
5441,684,0.18
5441,270,0.82
5441,500,0.98
5441,484,0.98
5441,760,0.92
5441,150,0.98
5441,205,0.02
5441,400,0.98
5441,110,0.98
5441,190,0.02
5441,200,0.98
5441,200,0.18
5441,140,0.62
5441,363,0.62
5441,711,0.92
5441,700,0.92
5441,4100,0.62
5441,245,0.62
5441,380,0.62
5441,72,0.78
5441,60,0.82
5441,198,0.02
5441,40,0.98
5441,485,0.98
5441,228,0.82
5441,228,0.62
5441,140,0.42
5441,480,0.98
5441,185,0.92
5441,720,0.98
5441,173,0.98
5441,280,0.98
5441,48,0.62
5441,140,0.98
5441,232,0.98
5441,337,0.18
5441,220,0.92
5441,230,0.98
5441,545,0.92
5441,230,0.72
5441,700,0.62
5441,25,0.98
5441,400,0.98
5441,5599,0.58
5441,651,0.92
5441,70,0.02
5441,250,0.92
5441,715,0.02
5441,260,0.82
5441,688,0.52
5441,50,0.98
5441,400,0.22
5441,687,0.62
5441,3300,0.94
5441,268,0.98
5441,1830,0.42
5441,540,0.18
5441,84,0.02
5441,438,0.82
5441,360,0.92
5441,957,0.98
5441,617,0.54
5441,470,0.92
5441,740,0.02
5441,440,0.98
5441,405,0.82
5441,220,0.92
5441,591,0.82
5441,1600,0.92
5441,90,0.18
5441,385,0.02
5441,290,1.0
5441,210,0.82
5441,584,0.96
5441,745,0.98
5441,411,0.42
5441,254,0.9
5441,606,0.92
5441,100,0.92
5441,290,0.02
5441,55000,0.82
5441,412,0.92
5441,550,0.42
5441,280,0.02
5441,1034,0.22
5441,280,0.02
5441,630,0.62
5441,410,0.86
5441,180,0.58
5441,380,0.92
5441,80,0.52
5441,1070,0.02
5441,865,0.42
5441,470,0.72
5441,461,0.82
5441,140,0.62
5441,430,0.02
5441,98,0.98
5441,360,0.82
5441,695,0.42
5441,6459,0.18
5441,55,0.18
5441,90,0.48
5441,1000,0.92
5441,98,0.98
5441,230,1.0
5441,250,0.98
5441,910,0.42
5441,515,0.98
5441,250,0.98
5441,242,0.02
5441,2010,0.32
5441,250,0.22
5441,100,0.72
5441,514,0.52
