CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
8011,895,0.38
8011,11000,0.62
8011,400,0.82
8011,500,0.12
8011,602,0.82
8011,1500,0.22
8011,24000,0.62
8011,967,0.98
8011,1400,0.38
8011,1800,0.22
8011,350,0.22
8011,2600,0.98
8011,2000,0.98
8011,452,0.02
8011,400,1.0
8011,1250,1.01
8011,1064,0.38
8011,2505.5,1.02
8011,1000,0.98
8011,1300,0.82
8011,12000,0.18
8011,1200,0.82
8011,2200,0.92
8011,620,1.0
8011,1444,0.72
8011,77,0.64
8011,199,0.02
8011,100,0.98
8011,255.54,0.92
8011,7000,1.01
8011,600,0.18
8011,1000,0.22
8011,2080,0.72
8011,2100,0.82
8011,5000,0.12
8011,11000,98.98
8011,1000,98.98
8011,350,0.02
