CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
4812,174.11,0.38
4812,174.11,0.62
4812,958,0.82
4812,471,0.12
4812,199,0.82
4812,707,0.22
4812,199,0.62
4812,579,0.98
4812,349,0.38
4812,499,0.22
4812,30.63,0.22
4812,399,0.98
4812,510,0.98
4812,10152.53,0.02
4812,942.82,1.0
4812,400,1.01
4812,459,0.38
4812,882,1.02
4812,448,0.98
4812,510,0.82
4812,200,0.18
4812,530,0.82
4812,1060,0.92
4812,500,1.0
4812,285,0.72
4812,175,0.64
4812,199,0.02
4812,398,0.98
4812,1003,0.92
4812,589,1.01
4812,100,0.18
4812,500,0.22
4812,3620,0.72
4812,558,0.82
4812,448,0.12
4812,707,98.98
4812,471,98.98
4812,8000,0.02
4812,620,0.82
4812,444,0.82
4812,16000,0.82
4812,500,0.62
4812,488,0.8
4812,200,0.18
4812,943,0.62
4812,500,0.98
4812,200,0.98
4812,5999,0.98
4812,8310,0.22
4812,399,0.98
4812,99,0.98
4812,243,0.92
4812,294,0.92
4812,412,0.62
4812,395,0.92
4812,510,0.62
4812,349,0.98
4812,510,0.98
4812,200,0.98
4812,873,0.18
4812,618,0.62
4812,225,0.98
4812,399,0.62
4812,494,0.62
4812,2288,0.98
4812,5999,0.38
4812,1000,0.02
4812,1061,0.42
4812,591,0.82
4812,1060,0.98
4812,1444,0.02
4812,180,0.72
4812,598,0.94
4812,6999,0.22
4812,1111,0.02
4812,908,0.42
4812,900,0.98
4812,800,0.98
4812,300,0.62
4812,90,0.22
4812,250,0.62
4812,323,0.58
4812,945,0.02
4812,448,0.02
4812,2198,0.98
4812,588,0.52
4812,900,0.92
4812,199,0.22
4812,349,0.02
4812,199,0.74
4812,440,0.02
4812,111,0.92
4812,588,0.02
4812,697,0.98
4812,629,0.82
4812,100,0.62
4812,399,0.98
4812,40,0.62
4812,589,0.98
4812,1,0.52
4812,422,0.92
4812,448,0.92
4812,716,0.82
4812,200,0.52
4812,10700,0.82
4812,3025,0.82
4812,415,0.22
4812,199,0.62
4812,47000,0.98
4812,1297,0.18
4812,3000,0.22
4812,5999,0.02
4812,1415,0.02
4812,886,0.82
4812,1415,0.02
4812,100000,0.02
4812,594,0.82
4812,598,0.42
4812,1297,0.18
4812,1179,0.82
4812,1297,0.98
4812,462,0.98
4812,449,0.92
4812,800,0.98
4812,399,0.02
4812,1000,0.98
4812,88000,0.98
4812,477,0.02
4812,14990,0.98
4812,499,0.18
4812,3476,0.62
4812,2099,0.62
4812,400,0.92
4812,259,0.92
4812,957,0.62
4812,100,0.62
4812,10000,0.62
4812,149,0.78
4812,416,0.82
4812,337,0.02
4812,149,0.98
4812,330,0.98
4812,3000,0.82
4812,149,0.62
4812,149,0.42
4812,532,0.98
4812,939,0.92
4812,1500,0.98
4812,555,0.98
4812,1150,0.98
4812,10990,0.62
4812,14900,0.98
4812,1179,0.98
4812,448,0.18
4812,747,0.92
4812,10148,0.98
4812,99,0.92
4812,20000,0.72
4812,448,0.62
4812,1800,0.98
4812,149,0.98
4812,15500,0.58
4812,1500,0.92
4812,100,0.02
4812,6870,0.92
4812,200,0.02
4812,200,0.82
4812,6299,0.52
4812,399,0.98
4812,400,0.22
4812,355,0.62
4812,249,0.94
4812,18990,0.98
4812,8310,0.42
4812,999,0.18
4812,15509,0.02
4812,493,0.82
4812,399,0.92
4812,500,0.98
4812,471,0.54
4812,942,0.92
4812,1000,0.02
4812,399,0.98
4812,330,0.82
4812,399,0.92
4812,294,0.82
4812,26520,0.92
4812,624,0.18
4812,16480,0.02
4812,2550,1.0
4812,55900,0.82
4812,3446,0.96
4812,1062.85,0.98
4812,3265,0.42
4812,8000,0.9
4812,100,0.92
4812,299,0.92
4812,12500,0.02
4812,471,0.82
4812,995,0.92
4812,666,0.42
4812,1,0.02
4812,30,0.22
4812,350,0.02
4812,3300,0.62
4812,999,0.86
4812,589,0.58
4812,300,0.92
4812,20990,0.52
4812,650,0.02
4812,100,0.42
4812,404,0.72
4812,499,0.82
4812,10700,0.62
4812,14990,0.02
4812,513,0.98
4812,1600,0.82
4812,14999,0.42
4812,980,0.18
4812,13500,0.18
4812,13800,0.48
4812,449,0.92
4812,6750,0.98
4812,7700,1.0
4812,1,0.98
4812,575,0.42
4812,500,0.98
4812,16200,0.98
4812,2040,0.02
4812,700,0.32
4812,531,0.22
4812,5400,0.72
4812,13800,0.52
4812,448,0.98
4812,1250,0.98
4812,90,0.82
4812,2470,1.0
4812,630,0.58
4812,26000,0.82
4812,1600,0.98
4812,17990,0.02
4812,120,0.62
4812,1500,0.38
4812,9999,0.98
4812,199,0.98
4812,280,0.42
4812,3500,0.92
4812,1178,0.92
4812,8900,0.62
4812,230,0.52
4812,535,0.06
4812,448,0.02
4812,99,0.42
4812,5146,0.98
4812,1500,0.42
4812,23400,0.98
4812,646,0.98
4812,471,0.38
4812,250,0.92
4812,149,1.01
4812,332,0.82
4812,10500,0.42
4812,2300,0.9
4812,250,0.72
4812,210,0.96
4812,33000,0.98
4812,21400,0.62
4812,6800,0.82
4812,17251,0.92
4812,550,0.02
4812,1600,0.62
4812,999,0.02
4812,9000,2.98
4812,250,0.82
4812,135,0.82
4812,34999,0.62
4812,50,0.62
4812,1000,0.98
4812,19990,0.82
4812,349,0.82
4812,199,0.22
4812,8100,0.02
4812,5151,0.92
4812,280,0.52
4812,1,0.22
4812,10500,0.82
4812,2600,0.72
4812,1500,0.92
4812,4990,0.62
4812,1,0.92
4812,499,0.98
4812,707,0.42
4812,529,0.48
4812,720,0.02
4812,588,0.02
4812,800,0.98
4812,15000,0.82
4812,249,0.98
4812,5999,0.82
4812,304,0.82
4812,6700,0.98
4812,2200,0.82
4812,15499,0.52
4812,5397,0.02
4812,1500,0.96
4812,330,0.92
4812,5000,0.92
4812,943,0.98
4812,14300,0.62
4812,300,0.82
4812,199,0.62
4812,1946,0.74
4812,430,0.82
4812,1890,0.62
4812,250,0.96
4812,700,0.02
4812,18000,0.62
4812,750,0.62
4812,1532,0.98
4812,250,0.68
4812,182,0.98
4812,9999,0.02
4812,430,0.38
4812,850,0.98
4812,1179,0.52
4812,3570,0.82
4812,80,0.92
4812,600,0.82
4812,1179,0.98
4812,1600,1.02
4812,130,0.02
4812,320,0.62
4812,2,0.38
4812,2040,0.92
4812,1000,0.02
4812,5698,0.02
4812,800,0.98
4812,1600,0.02
4812,500,0.62
4812,14990,0.98
4812,5900,0.82
4812,200,0.58
4812,1887,0.42
4812,3800,0.98
4812,1211,0.92
4812,448,0.22
4812,883,0.92
4812,300,0.82
4812,15200,0.02
4812,8188,0.3
4812,1047,0.22
4812,590,0.98
4812,1415,0.92
4812,825,0.98
4812,199,0.98
4812,1,0.98
4812,353,0.22
4812,15990,0.62
4812,380,0.22
4812,149,1.0
4812,2200,0.72
4812,5000,0.02
4812,800,0.62
4812,14200,0.92
4812,3407,0.02
4812,1500,0.62
4812,531,0.98
4812,400,0.98
4812,48,0.62
4812,471,0.62
4812,300,0.22
4812,335,0.82
4812,231,0.02
4812,545,0.02
4812,95000,0.92
4812,1100,0.98
4812,800,0.98
4812,380,0.98
4812,599,0.62
4812,2000,0.82
4812,99,0.62
4812,280,0.92
4812,10500,0.48
4812,16200,1.0
4812,13990,0.92
4812,149,0.58
4812,14200,0.62
4812,2049,0.92
4812,460,0.92
4812,4163,0.82
4812,67940,6.98
4812,4104,1.98
4812,479,2.98
4812,20500,0.62
4812,6200,0.62
4812,235,0.92
4812,510,0.96
4812,235,0.82
4812,3570,0.92
4812,200,3.06
4812,6440,2.06
4812,600,1.98
4812,3379,1.98
4812,200,0.92
4812,10990,0.02
4812,482,0.62
4812,100,0.02
4812,1680,0.82
4812,3539,0.62
4812,944,0.98
4812,399,0.38
4812,11000,0.02
4812,290,0.98
4812,10700,0.62
4812,14070,0.62
4812,1600,0.62
4812,743,0.98
4812,414,0.38
4812,448,0.62
4812,925,0.82
4812,1190,0.98
4812,3264,0.18
