CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
5310,9.24,0.38
5310,24.57,0.62
5310,111.61,0.82
5310,28.29,0.12
5310,538,0.82
5310,85.3,0.22
5310,35.25,0.62
5310,1399,0.98
5310,1149,0.38
5310,1384,0.22
5310,999,0.22
5310,999,0.98
5310,538,0.98
5310,3295,0.02
5310,799,1.0
5310,1018,1.01
5310,3753,0.38
5310,499,1.02
5310,40.8,0.98
5310,698,0.82
5310,4991,0.18
5310,839.7,0.82
5310,1538.7,0.92
5310,539,1.0
5310,49,0.72
5310,10339,0.64
5310,915,0.02
5310,160,0.98
5310,11999,0.92
5310,799,1.01
5310,366,0.18
5310,86.34,0.22
5310,353,0.72
5310,8.18,0.82
5310,3492.16,0.12
5310,72.12,98.98
5310,519.3,98.98
5310,4.54,0.02
5310,4761,0.82
5310,13.13,0.82
5310,77,0.82
5310,77,0.62
5310,77,0.8
5310,950,0.18
5310,77,0.62
5310,50,0.98
5310,50,0.98
