CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
7230,986,0.38
7230,257,0.62
7230,4897,0.82
7230,1604,0.12
7230,3481,0.82
7230,40,0.22
7230,253,0.62
7230,130,0.98
7230,317,0.38
7230,1400,0.22
7230,200,0.22
7230,200,0.98
7230,749,0.98
7230,198,0.02
7230,450,1.0
7230,767,1.01
7230,419,0.38
7230,204,1.02
7230,300,0.98
7230,665,0.82
7230,142,0.18
7230,142,0.82
7230,150,0.92
7230,662,1.0
7230,236,0.72
7230,1180,0.64
7230,390,0.02
7230,900,0.98
7230,472,0.92
7230,177,1.01
7230,767,0.18
7230,1500,0.22
7230,250,0.72
7230,1100,0.82
7230,8350,0.12
7230,900,98.98
7230,200,98.98
7230,300,0.02
7230,236,0.82
7230,850,0.82
7230,150,0.82
7230,620,0.62
7230,4600,0.8
7230,443,0.18
7230,330,0.62
7230,242,0.98
7230,810,0.98
7230,502,0.98
7230,150,0.22
7230,500,0.98
7230,23600,0.98
7230,354,0.92
7230,590,0.92
7230,826,0.62
7230,1500,0.92
7230,600,0.62
7230,1500,0.98
7230,200,0.98
7230,885,0.98
7230,720,0.18
7230,590,0.62
7230,1065,0.98
7230,440,0.62
7230,400,0.62
7230,451,0.98
7230,170,0.38
7230,305,0.02
7230,5000,0.42
7230,100,0.82
7230,1481,0.98
7230,350,0.02
7230,1672,0.72
7230,443,0.94
7230,861,0.22
7230,400,0.02
7230,560,0.42
7230,60,0.98
7230,3400,0.98
7230,1000,0.62
7230,1947,0.22
7230,850,0.62
7230,450,0.58
7230,460,0.02
7230,425,0.02
7230,8900,0.98
7230,950,0.52
7230,150,0.92
7230,1829,0.22
7230,400,0.02
7230,1830,0.74
7230,1516,0.02
7230,1180,0.92
7230,1700,0.02
7230,519,0.98
7230,900,0.82
7230,17000,0.62
7230,230,0.98
7230,3599,0.62
7230,8100,0.98
7230,1360,0.52
7230,722,0.92
7230,200,0.92
7230,150,0.82
7230,500,0.52
7230,236,0.82
7230,80,0.82
7230,236,0.22
7230,500,0.62
7230,1590,0.98
7230,501,0.18
7230,500,0.22
7230,3974,0.02
7230,700,0.02
7230,590,0.82
7230,1617,0.02
7230,250,0.02
7230,1560,0.82
7230,1475,0.42
7230,500,0.18
7230,2596,0.82
7230,150,0.98
7230,100,0.98
7230,480,0.92
7230,500,0.98
7230,340,0.02
7230,826,0.98
7230,3700,0.98
7230,106,0.02
7230,1960,0.98
7230,230,0.18
7230,2050,0.62
7230,3400,0.62
7230,1050,0.92
7230,1130,0.92
7230,300,0.62
7230,1445,0.62
7230,1000,0.62
7230,295,0.78
7230,330,0.82
7230,3070,0.02
7230,650,0.98
7230,150,0.98
7230,1500,0.82
7230,3131,0.62
