CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
7299,550,0.38
7299,10000,0.62
7299,2000,0.82
7299,5000,0.12
7299,10000,0.82
7299,10000,0.22
7299,10000,0.62
7299,10000,0.98
7299,10000,0.38
7299,10000,0.22
7299,10000,0.22
7299,10000,0.98
7299,10000,0.98
7299,20000,0.02
7299,10000,1.0
7299,10000,1.01
7299,5000,0.38
7299,10000,1.02
7299,1122,0.98
7299,100,0.82
7299,650,0.18
7299,5000,0.82
7299,5000,0.92
7299,190,1.0
7299,980,0.72
7299,147,0.64
7299,1000,0.02
7299,10000,0.98
7299,5000,0.92
7299,6000,1.01
7299,5000,0.18
7299,10000,0.22
7299,3000,0.72
7299,360,0.82
7299,846,0.12
7299,7975,98.98
7299,5000,98.98
7299,250,0.02
7299,500,0.82
7299,1175,0.82
7299,10000,0.82
7299,10000,0.62
7299,17936,0.8
7299,5000,0.18
7299,30000,0.62
7299,642,0.98
7299,10000,0.98
7299,240,0.98
7299,20000,0.22
7299,1950,0.98
7299,2000,0.98
7299,10000,0.92
7299,5000,0.92
7299,10000,0.62
7299,2000,0.92
7299,1399,0.62
7299,340,0.98
7299,500,0.98
7299,5000,0.98
7299,500,0.18
7299,100000,0.62
7299,250,0.98
7299,10000,0.62
7299,29,0.62
7299,10000,0.98
7299,4876,0.38
7299,635,0.02
7299,10557,0.42
7299,1095,0.82
7299,10000,0.98
7299,1100,0.02
7299,10000,0.72
7299,9913.2,0.94
7299,210,0.22
7299,100,0.02
7299,10000,0.42
7299,1973,0.98
7299,8145,0.98
7299,500,0.62
7299,1071,0.22
7299,10000,0.62
7299,400,0.58
7299,10000,0.02
7299,10000,0.02
7299,150,0.98
7299,3700,0.52
7299,9000,0.92
7299,320,0.22
7299,1000,0.02
7299,10000,0.74
7299,1000,0.02
7299,271,0.92
7299,10000,0.02
7299,10000,0.98
7299,350,0.82
7299,9993.75,0.62
7299,3.99,0.98
7299,9993.75,0.62
7299,3650,0.98
7299,1650,0.52
7299,600,0.92
7299,10000,0.92
7299,3214,0.82
7299,10000,0.52
7299,41827,0.82
7299,9992.75,0.82
7299,9999,0.22
7299,160,0.62
7299,9993.75,0.98
7299,350,0.18
7299,2245,0.22
7299,600,0.02
7299,3743,0.02
7299,1556,0.82
7299,1330,0.02
7299,10,0.02
7299,100,0.82
7299,249,0.42
7299,2200,0.18
7299,23.78,0.82
7299,34198.84,0.98
7299,15,0.98
7299,7000,0.92
7299,7000,0.98
7299,4000,0.02
7299,1940,0.98
7299,1940,0.98
7299,400,0.02
7299,1000,0.98
7299,5000,0.18
7299,5000,0.62
7299,100,0.62
7299,5000,0.92
7299,85,0.92
7299,5050,0.62
7299,1050,0.62
7299,5000,0.62
7299,10000,0.78
7299,10000,0.82
7299,10000,0.02
7299,10000,0.98
7299,5150,0.98
7299,100,0.82
7299,10000,0.62
7299,9000,0.42
7299,10000,0.98
7299,560,0.92
7299,250,0.98
7299,2832,0.98
7299,160,0.98
7299,10000,0.62
7299,2000,0.98
7299,8000,0.98
7299,10000,0.18
7299,5000,0.92
7299,5000,0.98
7299,2000,0.92
7299,8000,0.72
7299,547,0.62
7299,10000,0.98
7299,10000,0.98
7299,10000,0.58
7299,262,0.92
7299,10000,0.02
7299,16185,0.92
7299,10000,0.02
7299,10000,0.82
7299,10000,0.52
7299,10000,0.98
7299,6000,0.22
7299,640,0.62
7299,4000,0.94
7299,3000,0.98
7299,850,0.42
7299,26400,0.18
7299,250,0.02
7299,1085,0.82
7299,100000,0.92
7299,1030,0.98
7299,1560,0.54
7299,65.55,0.92
7299,240,0.02
7299,400,0.98
7299,945,0.82
7299,160,0.92
7299,1858,0.82
7299,300,0.92
7299,983,0.18
7299,49000,0.02
7299,1985,1.0
7299,7908,0.82
7299,7908,0.96
7299,7908,0.98
7299,100000,0.42
7299,400,0.9
