CARD_ACCEPTOR_ACTIVITY,TRANSACTION_AMOUNT,Label
4899,50,0.38
4899,820.1,0.62
4899,9.99,0.82
4899,280,0.12
4899,750,0.82
4899,10764,0.22
4899,2000,0.62
4899,750,0.98
4899,330,0.38
4899,643.1,0.22
4899,300,0.22
4899,700,0.98
4899,508,0.98
4899,500,0.02
4899,800,1.0
4899,1000,1.01
4899,340,0.38
4899,1000,1.02
4899,169,0.98
4899,169,0.82
4899,2655,0.18
4899,500,0.82
4899,9.99,0.92
4899,1699,1.0
4899,650,0.72
4899,990,0.64
4899,169,0.02
4899,169,0.98
4899,500,0.92
4899,1000,1.01
4899,300,0.18
4899,1000,0.22
4899,2050,0.72
4899,1000,0.82
4899,1000,0.12
4899,750,98.98
4899,524,98.98
4899,169,0.02
4899,1179,0.82
4899,458,0.82
4899,13.99,0.82
4899,169,0.62
4899,658,0.8
4899,1000,0.18
4899,350,0.62
4899,130,0.98
4899,1000,0.98
4899,1000,0.98
4899,299,0.22
4899,13.99,0.98
4899,299,0.98
4899,129,0.92
4899,169,0.92
4899,13.99,0.62
4899,169,0.92
4899,750,0.62
4899,65000,0.98
4899,1600,0.98
4899,2250,0.98
4899,355,0.18
4899,1,0.62
4899,1041,0.98
4899,4300,0.62
4899,935,0.62
4899,4300,0.98
4899,1191,0.38
4899,650,0.02
4899,650,0.42
4899,500,0.82
4899,650,0.98
4899,500,0.02
4899,800,0.72
4899,650,0.94
4899,650,0.22
4899,800,0.02
4899,800,0.42
4899,650,0.98
4899,800,0.98
4899,800,0.62
4899,460,0.22
4899,800,0.62
4899,500,0.58
4899,650,0.02
4899,650,0.02
4899,500,0.98
4899,800,0.52
4899,169,0.92
4899,169,0.22
4899,169,0.02
4899,800,0.74
4899,800,0.02
4899,500,0.92
4899,20.98,0.02
4899,800,0.98
4899,800,0.82
4899,650,0.62
4899,2000,0.98
4899,800,0.62
4899,3611,0.98
4899,650,0.52
4899,707,0.92
4899,500,0.92
4899,1041,0.82
4899,169,0.52
4899,9.99,0.82
4899,50,0.82
4899,500,0.22
4899,280,0.62
4899,169,0.98
4899,280,0.18
4899,2000,0.22
4899,1050,0.02
4899,50,0.02
4899,169,0.82
4899,800,0.02
4899,300,0.02
4899,170,0.82
4899,880,0.42
4899,600,0.18
4899,550,0.82
4899,500,0.98
4899,1,0.98
4899,550,0.92
4899,2650,0.98
4899,1640,0.02
4899,1800,0.98
4899,1045,0.98
4899,840,0.02
4899,1050,0.98
4899,200,0.18
4899,100,0.62
4899,300,0.62
4899,345,0.92
4899,1000,0.92
4899,200,0.62
4899,201,0.62
4899,250,0.62
4899,200,0.78
4899,315,0.82
